stop_id,stop_code,stop_name,stop_lat,stop_lon,scheduled_stop_calls,degree,weighted_degree,in_degree,out_degree,pagerank,betweenness,harmonic,is_articulation_point,community_id,stations_outside_largest_component,components,socio_locality,socio_cluster,socio_index_value,socio_population,socio_join_method,socio_join_distance_m,region,metro,socio_group,degree_percentile,weighted_degree_percentile,pagerank_percentile,betweenness_percentile,harmonic_percentile,stations_outside_largest_component_percentile,composite_centrality_score,top_quintile_centrality_count,station_archetype
37372,17024,בנימינה,32.514386,34.949573,283,6,455,6,6,0.0144023475982174,0.0489510489510489,0.317003367003367,False,2,0,1,בנימינה-גבעת עדה*,9.0,1.73861769531723,1973.33481355797,within,0.0,צפון,פריפריה,Higher (clusters 8–9),0.9253731343283582,0.7611940298507462,0.582089552238806,0.7014925373134329,0.8955223880597015,0.0,77.31343283582089,2,globally accessible connector
37326,17070,אשדוד עד הלום,31.774061,34.666059,267,4,509,4,3,0.0218599683282956,0.0628593628593628,0.2522803795531067,False,7,0,1,אשדוד,5.0,0.0226875794438349,4903.58716711774,nearest,649.908681429238,מרכז,פריפריה,Middle (clusters 5–7),0.8059701492537313,0.7910447761194029,0.8507462686567164,0.7611940298507462,0.5522388059701493,0.0,75.22388059701493,2,ordinary or peripheral station
37294,17102,רשל''צ משה דיין,31.987987,34.757392,218,4,412,4,4,0.0165426566500011,0.0977466977466977,0.2909090909090908,False,7,0,1,ראשון לציון,8.0,1.33991775968736,5852.82762709344,nearest,118.80360635985188,מרכז,תל אביב,Higher (clusters 8–9),0.8059701492537313,0.6119402985074627,0.7164179104477612,0.8059701492537313,0.7910447761194029,0.0,74.62686567164178,2,structural broker with alternatives
37388,17008,מרכזית המפרץ/קו החוף,32.793921,35.037079,298,3,581,3,3,0.017996709038804,0.0137529137529137,0.2539693471511652,False,4,0,1,נשר,6.0,0.364785918850949,218.32116310165,nearest,1039.778665830584,צפון,חיפה,Middle (clusters 5–7),0.6417910447761194,0.8507462686567164,0.8059701492537313,0.5223880597014925,0.582089552238806,0.0,68.05970149253731,2,redundant high-service hub
37396,17000,פאתי מודיעין,31.893133,34.960682,233,3,466,3,3,0.0169295062095221,0.0303030303030303,0.2591089466089466,True,5,1,2,מודיעין-מכבים-רעות*,9.0,1.53413481279146,1476.62209187026,within,0.0,ירושלים,תל אביב,Higher (clusters 8–9),0.6417910447761194,0.7761194029850746,0.746268656716418,0.6044776119402985,0.6268656716417911,0.25,67.91044776119402,0,branch gateway
42417,17121,רעננה מערב,32.180006,34.850737,217,3,434,3,3,0.0130197122483279,0.1022533022533022,0.2796296296296296,False,6,0,1,הרצלייה,8.0,1.15229475662232,3277.19859063208,within,0.0,מרכז,תל אביב,Higher (clusters 8–9),0.6417910447761194,0.6865671641791045,0.43283582089552236,0.8208955223880597,0.7313432835820896,0.0,66.26865671641792,1,structural broker with alternatives
37368,17028,חדרה מערב,32.438199,34.899321,151,5,302,5,5,0.0120203786324687,0.0185703185703185,0.3074074074074074,False,6,0,1,חדרה,5.0,-0.0021823861747958,3563.46998673371,within,0.0,מרכז,פריפריה,Middle (clusters 5–7),0.8880597014925373,0.47761194029850745,0.3582089552238806,0.5522388059701493,0.8656716417910447,0.0,62.83582089552239,2,globally accessible connector
40581,17113,כפר ברוך,32.647554,35.207967,106,4,212,4,4,0.0144355607931393,0.0596736596736596,0.2552319734137915,True,2,2,2,כפר ברוך,7.0,1.00189030619256,667.005944114233,nearest,889.0881717578255,צפון,פריפריה,Middle (clusters 5–7),0.8059701492537313,0.3358208955223881,0.5970149253731343,0.746268656716418,0.5970149253731343,0.5357142857142857,61.64179104477612,1,branch gateway
37336,17060,רמלה,31.928809,34.877304,102,3,204,3,3,0.016023527659984,0.0561771561771561,0.2674422799422798,True,1,1,2,רמלה,2.0,-1.23722047311742,1880.62365982157,within,0.0,מרכז,תל אביב,Lower (clusters 2–4),0.6417910447761194,0.29850746268656714,0.7014925373134329,0.7313432835820896,0.6865671641791045,0.25,61.19402985074627,0,branch gateway
37366,17030,נתניה,32.319915,34.869257,196,4,331,4,4,0.013133562543092,0.0171717171717171,0.2806397306397307,False,6,0,1,נתניה,2.0,-1.44607257577043,127.377874447519,within,0.0,מרכז,תל אביב,Lower (clusters 2–4),0.8059701492537313,0.5223880597014925,0.44776119402985076,0.5373134328358209,0.746268656716418,0.0,61.19402985074627,1,ordinary or peripheral station
