socio_unit_id,socio_cluster,population,stops,active_stops,total_stop_use,avg_trip_graph_degree,critical_stops,community,city,region,metro,stop_use_per_1000,stops_per_1000,stop_use_per_stop,critical_stop_share,active_stop_share
11650001,9.0,770.0,8,8,4839,5.25,0,36.0,שילת,מרכז,תל אביב,6284.415584415585,10.38961038961039,604.875,0.0,1.0
11660001,9.0,275.0,5,5,4836,6.8,0,36.0,כפר רות,מרכז,תל אביב,17585.454545454544,18.18181818181818,967.2,0.0,1.0
11670001,9.0,5997.0,48,48,6804,2.5416666666666665,0,65.0,קיסריה,צפון,פריפריה,1134.5672836418207,8.004002001000499,141.75,0.0,1.0
11710001,7.0,793.0,2,2,66,2.5,0,18.0,לוטם,צפון,פריפריה,83.2282471626734,2.5220680958385877,33.0,0.0,1.0
11720001,8.0,352.0,8,8,1813,2.5,0,18.0,תובל,צפון,פריפריה,5150.568181818182,22.727272727272727,226.625,0.0,1.0
11730001,6.0,126.0,4,4,180,3.5,0,18.0,לפידות,צפון,פריפריה,1428.5714285714287,31.746031746031743,45.0,0.0,1.0
11740001,9.0,851.0,1,1,34,1.0,0,5.0,מנוף,צפון,חיפה,39.9529964747356,1.1750881316098707,34.0,0.0,1.0
11760001,6.0,498.0,7,7,1583,2.4285714285714284,0,30.0,ספיר,דרום,פריפריה,3178.714859437751,14.056224899598392,226.14285714285714,0.0,1.0
11770001,7.0,610.0,12,12,1601,3.0,0,62.0,טללים,דרום,פריפריה,2624.590163934426,19.672131147540984,133.41666666666666,0.0,1.0
11780001,7.0,1601.0,4,4,972,5.25,0,5.0,מורשת,צפון,חיפה,607.1205496564646,2.4984384759525295,243.0,0.0,1.0
11790001,9.0,918.0,3,3,417,3.0,0,5.0,קורנית,צפון,פריפריה,454.2483660130719,3.2679738562091503,139.0,0.0,1.0
11800001,8.0,331.0,1,1,33,4.0,0,18.0,צביה,צפון,פריפריה,99.69788519637463,3.0211480362537766,33.0,0.0,1.0
11810001,9.0,1271.0,6,6,362,2.6666666666666665,0,29.0,טל-אל,צפון,חיפה,284.8151062155783,4.720692368214005,60.333333333333336,0.0,1.0
11820001,9.0,1135.0,1,1,44,3.0,0,5.0,אלון הגליל,צפון,חיפה,38.76651982378854,0.881057268722467,44.0,0.0,1.0
11830001,6.0,891.0,9,9,464,2.4444444444444446,0,2.0,כליל,צפון,פריפריה,520.763187429854,10.101010101010102,51.55555555555556,0.0,1.0
11840001,6.0,227.0,5,5,230,3.0,0,2.0,מתת,צפון,פריפריה,1013.2158590308371,22.026431718061676,46.0,0.0,1.0
11850001,7.0,202.0,1,1,34,2.0,0,18.0,פלך,צפון,פריפריה,168.31683168316832,4.9504950495049505,34.0,0.0,1.0
11860001,8.0,2057.0,1,1,44,1.0,0,5.0,הושעיה,צפון,פריפריה,21.390374331550802,0.4861448711716091,44.0,0.0,1.0
11880001,7.0,1009.0,1,1,33,4.0,0,5.0,אשחר,צפון,פריפריה,32.70564915758176,0.9910802775024776,33.0,0.0,1.0
11900001,7.0,1074.0,4,4,1585,4.75,0,5.0,מצפה נטופה,צפון,פריפריה,1475.7914338919927,3.7243947858473,396.25,0.0,1.0
11910001,4.0,1092.0,3,3,170,3.0,0,48.0,בר יוחאי,צפון,פריפריה,155.67765567765568,2.7472527472527473,56.666666666666664,0.0,1.0
11950001,3.0,263.0,6,6,315,2.8333333333333335,0,62.0,ניצנה (קהילת חינוך),דרום,פריפריה,1197.718631178707,22.813688212927758,52.5,0.0,1.0
11970001,2.0,233.0,9,9,447,2.7777777777777777,0,30.0,נאות סמדר,דרום,פריפריה,1918.4549356223174,38.62660944206009,49.666666666666664,0.0,1.0
