stop_id,stop_name,own_community,connected_communities,degree,lat,lon
43318,תחנת מוניות הרברט סמואל,11,1,14,32.073347,34.764919
43314,ת.רכבת בני ברק,6,1,15,32.103124,34.829945
43313,שלבים/אליפלט,25,1,18,32.054148,34.765206
43312,שלבים/אליפלט,25,1,21,32.054332,34.765086
43275,אצטדיון בלומפילד/שלבים,25,1,18,32.051093,34.765061
44135,שדרות בן גוריון/שדרות אהרון קציר,12,1,14,32.061543,34.847066
44252,דרך יצחק רבין/חייקה גרוסמן,1,1,12,32.076727,34.85993
40814,צומת יהוד מערב/כביש 461,30,1,7,32.026164,34.882146
44421,החשמונאים/שד' רוטשילד,18,1,30,32.070312,34.779325
44457,דרך קיבוץ גלויות/מסילת ישרים,11,1,18,32.048734,34.775751
44456,בי''ס גרץ/אד''ם הכהן,35,1,22,32.085245,34.777477
44455,טאגור/אנדרסן,32,1,15,32.114559,34.796223
44454,מרכז מסחרי/טאגור,17,1,18,32.117679,34.798088
