mode_label,stop_id,stop_calls
bus,14019,1408
bus,14020,1408
bus,14022,2762
bus,13112,4561
bus,12981,2578
bus,12969,2502
bus,13082,3155
bus,13161,2245
bus,13081,2347
bus,13162,2347
bus,13618,2286
bus,13615,2037
bus,13617,2037
bus,13610,2037
bus,13607,2544
bus,13603,2746
bus,42863,3408
bus,13523,3419
bus,13501,1934
bus,47423,3261
bus,47398,3261
bus,13075,2464
bus,13512,2476
bus,50497,2334
bus,13540,2933
bus,13483,3350
bus,13488,3680
bus,47424,1707
bus,44468,3680
bus,44464,1814
bus,44470,2219
bus,51963,2020
bus,44471,2662
bus,12862,1980
bus,13308,1398
bus,13307,1398
bus,13085,1398
bus,14472,3254
bus,13700,2937
bus,24660,4564
bus,13419,3360
bus,13421,2521
bus,13256,2801
bus,13431,1685
bus,13433,1685
bus,13435,1685
bus,12812,1685
bus,13520,1236
bus,13517,783
bus,13521,923
bus,13150,824
bus,13109,824
bus,13167,866
bus,48897,963
bus,13569,1416
bus,13228,4584
bus,13574,2260
bus,42146,595
bus,13585,1783
bus,13583,2616
bus,13565,4918
bus,13664,3636
bus,29490,2119
bus,13670,2106
bus,13683,2451
bus,13687,595
bus,13691,595
bus,13718,1864
bus,13723,1864
bus,13733,2997
bus,29478,595
bus,13730,4284
bus,24086,1475
bus,24158,2818
bus,13417,892
bus,13410,892
bus,13407,892
bus,13405,892
bus,13409,892
bus,13418,1974
bus,44458,755
bus,13439,1038
bus,13604,1038
bus,13063,1767
bus,13627,1767
bus,12999,2292
bus,13095,2396
bus,13130,1829
bus,12987,1928
bus,13056,1607
bus,13058,1385
bus,13059,1445
bus,50385,5787
bus,51635,1038
bus,12946,2130
bus,13239,1808
bus,13713,1133
bus,43652,2373
bus,13722,1175
bus,13067,6824
bus,13179,3013
bus,13208,1883
bus,13762,834
bus,13764,834
bus,12920,1883
bus,14349,3543
bus,13145,2410
bus,29568,1729
bus,13229,1633
bus,29398,1729
bus,13359,1729
bus,49981,1729
bus,48366,1603
bus,50867,676
bus,16661,411
bus,15804,866
bus,24190,866
bus,15717,955
bus,15533,955
bus,15643,1128
bus,15909,1018
bus,48656,928
bus,15907,2227
bus,25092,2505
bus,23320,863
bus,48441,1024
bus,16789,1499
bus,33938,937
bus,24201,1379
bus,14041,427
bus,14046,1946
bus,14053,535
bus,14044,2064
bus,13174,4472
bus,13043,4011
bus,13120,7393
bus,41237,2691
bus,12900,5709
bus,44307,3755
bus,13088,4147
bus,13087,1677
bus,14533,852
bus,14009,542
bus,14083,546
bus,14085,542
bus,14086,624
bus,14184,546
bus,14181,624
bus,14187,755
bus,14190,1132
bus,14199,400
bus,14202,2147
bus,14193,1848
bus,49372,2940
bus,14206,3119
bus,13122,2328
bus,14370,2695
bus,13019,2381
bus,13268,1235
bus,13612,1003
bus,13079,1158
bus,12925,1806
bus,13629,1745
bus,29476,1959
bus,12885,2082
bus,12828,2511
bus,13816,1068
bus,13818,1068
bus,36828,773
bus,14596,844
bus,13001,1148
bus,13003,1569
bus,12950,1569
bus,13901,1069
bus,13903,1069
bus,14024,2009
bus,7175,19
bus,43385,45
bus,20718,17
bus,7157,196
bus,6336,203
bus,20322,351
bus,20323,321
bus,4384,321
bus,20324,326
bus,20201,330
bus,4381,315
bus,4289,315
bus,20528,315
bus,51687,19
bus,4290,317
bus,20635,317
bus,20636,315
bus,4288,315
bus,44955,78
bus,44954,78
bus,44953,78
bus,44952,78
bus,44951,78
bus,4292,336
bus,20530,336
bus,20531,336
bus,20532,652
bus,19999,167
bus,51694,141
bus,20254,133
bus,19828,105
bus,4400,105
bus,19825,70
bus,18962,82
bus,18961,82
bus,18955,82
bus,18703,808
bus,7197,1342
bus,51577,113
bus,5267,541
bus,5269,733
bus,5270,667
bus,5271,731
bus,5506,337
bus,5507,337
bus,5274,360
bus,5275,392
bus,5276,455
bus,5277,448
bus,5278,445
bus,5279,448
bus,6339,249
bus,19673,249
bus,18940,166
bus,19985,146
bus,18946,131
bus,18947,131
bus,20073,131
bus,20089,131
bus,18995,131
bus,46432,80
bus,20711,131
bus,20712,131
bus,19997,69
bus,44968,56
bus,20216,69
bus,20306,71
bus,20018,55
bus,20301,46
bus,20625,46
bus,20203,179
bus,20221,179
bus,4291,243
bus,6246,7
bus,18421,815
bus,7216,669
bus,18434,709
bus,18423,712
bus,5617,1499
bus,5618,1617
bus,5619,1510
