stop_id,stop_name,lat,lon,region,metro,degree
28441,התחנה לבריאות המשפחה,31.395319,34.769743,South,Beer Sheva,4
28442,התחנה לבריאות המשפחה,31.393944,34.770122,South,Beer Sheva,4
25398,אזור/מר. שפינוזה,32.023651,34.803576,Center,Tel Aviv,4
20848,חיים משה שפירא/דוכיפת,32.942029,35.079543,North,Haifa,4
28840,אחת עשרה הנקודות/שדרות וייצמן,31.415902,34.589401,South,Periphery,4
23676,אופנהיימר/ברגמן,31.910987,34.807696,Center,Tel Aviv,4
23143,ד''ר משה סנה/ברקן,32.186436,34.896199,Center,Tel Aviv,4
28685,בית ספר חופים,31.588045,34.560417,Center,Periphery,4
28215,בית ספר חאמד,31.253153,35.069517,South,Periphery,4
20128,איבטין טחנת קמח,32.763357,35.106344,North,Haifa,4
28991,כפר מימון,31.431444,34.541228,South,Periphery,4
7676,מערת המכפלה,31.522902,35.110019,South,Periphery,4
19573,גני ילדים מרכז,32.737826,35.155681,North,Haifa,4
27621,שדה ניצן מרכז,31.2298,34.419134,South,Periphery,4
2968,מרכז העיר 1,32.693353,35.047053,North,Haifa,4
20556,מועצה מקומית,32.954757,35.215369,North,Periphery,4
28324,ניצנה/כפר נוער,30.885177,34.422335,South,Periphery,4
26985,אוהד מרכז,31.238718,34.430949,South,Periphery,3
26875,דרך הראל/בארי,31.323175,34.930304,South,Beer Sheva,3
38918,שכונת הרחבה חדשה,33.048076,35.175786,North,Periphery,3
26792,התעשייה/פלדה,31.247507,35.202591,South,Periphery,3
26757,שד. חברון/פרג,31.327815,34.935746,South,Beer Sheva,3
49031,שדרות ששת הימים/שדרות הבאבא סאלי,33.015659,35.11274,North,Periphery,3
3709,שאגאל/סרה,32.808513,35.136786,North,Haifa,3
37061,צים סנטר/התעשייה,31.247451,35.201052,South,Periphery,3
3703,צומת אלמחרקה,32.68726,35.065867,North,Haifa,3
38919,שכונת הרחבה חדשה בית 189,33.047751,35.173597,North,Periphery,3
15294,נירים/צמרות,31.957854,34.881945,Center,Tel Aviv,3
5754,ראס אל חביה 2,32.881764,35.424018,North,Periphery,3
49095,אהרונוביץ',32.092685,34.838868,Center,Tel Aviv,3
4839,נעורה כיכר,32.614467,35.393232,North,Periphery,3
17040,דרך קרית עמל/אליהו התשבי,32.711264,35.103788,North,Haifa,3
35879,מרפאה/מחג'נה,32.521563,35.149198,North,Periphery,3
8978,קיבוץ נחשון,31.829279,34.956473,Jerusalem,Periphery,3
7401,חזון איש/ חתם סופר,31.695636,35.12329,Center,Jerusalem,3
26431,הכשרת היישוב/הזורע,31.215998,34.812788,South,Beer Sheva,3
395,הגפן/השקד,32.351844,34.862521,Center,Periphery,3
42497,שדרות אריק שרון/שדרות קרן הידידות,31.73894,34.745344,Center,Periphery,3
42498,שדרות אריק שרון/שדרות קרן הידידות,31.738927,34.74524,Center,Periphery,3
40666,משה שרת/משאבים,32.162665,34.89032,Center,Tel Aviv,3
35564,בית ספר כפאר עקב,31.876014,35.21776,Jerusalem,Jerusalem,3
396,הגפן/השקד,32.3519,34.862727,Center,Periphery,3
7413,חזו'א / חתם סופר,31.695557,35.123341,Center,Jerusalem,3
37336,רמלה,31.928809,34.877304,Center,Tel Aviv,3
20437,מרכז מסחרי/שפירא,32.937777,35.077959,North,Haifa,3
40976,ב''ס אל אמל,32.954799,35.220013,North,Periphery,3
27493,שד. ישראל פולק/כסלו,31.602709,34.78094,Center,Periphery,3
20874,הושעיה/ש.ג.מ. ציפורית,32.764176,35.301328,North,Periphery,3
41142,עוזייר שכונה דרומית 1,32.789643,35.323548,North,Periphery,3
41141,עוזייר שכונה דרומית 3,32.789778,35.323879,North,Periphery,3
27486,צבר/שדרות אבץ,31.597299,34.786303,Center,Periphery,3
7074,מכמנים מרכז,32.905334,35.328364,North,Periphery,3
38168,מקלט ציבורי אלעריד,33.014857,35.34294,North,Periphery,3
48822,אל תווחיד/דב יוסף,31.74796,35.198702,Jerusalem,Jerusalem,3
38114,עין קיניא/כניסה צפונית,33.242478,35.730944,North,Periphery,3
37897,תחנת מוניות תל אביב תחנה מרכזית,32.055019,34.780993,Center,Tel Aviv,3
8956,אל בוטמה,31.742886,35.200003,Jerusalem,Jerusalem,3
15782,בית עלמין,31.859361,34.739002,Center,Tel Aviv,3
37803,קניון אושילנד/עתיר ידע,32.16545,34.928564,Center,Tel Aviv,3
41123,עלי בן אבי טאלב/כניסה מערבית,32.509789,35.133237,North,Periphery,3
41540,הכשרת הישוב/הבונים,31.219572,34.81243,South,Beer Sheva,3
38215,עין קיניא/יציאה צפונית,33.242676,35.730651,North,Periphery,3
37624,הנפח/מעלה כמון,32.922781,35.324035,North,Periphery,3
6667,פקיעין חיילים משוחררים מגרש כדורגל,32.967004,35.320927,North,Periphery,3
37607,הנפח/מעלה כמון,32.922894,35.324792,North,Periphery,3
27316,כרמיה,31.604111,34.543461,Center,Periphery,3
37396,פאתי מודיעין,31.893133,34.960682,Jerusalem,Tel Aviv,3
27023,בסיס בינוי מרחב,31.24074,34.699379,South,Beer Sheva,3
12404,ספריה עירונית/חטיבת הנגב,29.556118,34.950096,South,Periphery,3
41122,עלי בן אבי טאלב,32.51001,35.135987,North,Periphery,3
41107,ניר עוז מרכז,31.309334,34.402856,South,Periphery,3
19697,כיכר מרכז האזרחי,32.736614,35.153712,North,Haifa,3
2201,בית אלפא/דגניה,32.832062,35.055898,North,Haifa,3
26668,הספרייה,30.610374,34.801868,South,Periphery,3
35361,קיבוץ מעלה גלבוע,32.477325,35.41941,Center,Periphery,3
2294,קופת חולים/ויצמן,32.819553,35.080837,North,Haifa,3
6554,מועצה מקומית,32.931894,35.318974,North,Periphery,3
23694,אזור תעשיה סנטרל פארק 2000/עתיר ידע,32.16336,34.930679,Center,Tel Aviv,3
27927,מחנה אמיתי,31.204353,34.284683,South,Periphery,3
25467,כיכר הטפטפת/דרך ג'ו יוסף אלון,31.241447,34.758239,South,Beer Sheva,3
23695,אזור תעשיה סנטרל פארק 2000/עתיר ידע,32.163437,34.930736,Center,Tel Aviv,3
27928,מחנה צאלים,31.180617,34.563052,South,Beer Sheva,3
5106,קיבוץ שלוחות,32.471512,35.481007,Center,Periphery,3
13752,שד' רוקח/דרך נמיר,32.100547,34.796071,Center,Tel Aviv,3
51759,צומת איילת השחר,32.103046,34.841587,Center,Tel Aviv,3
7873,מעלה מכמש,31.878271,35.306602,Center,Jerusalem,3
51802,קופות חולים/איילת השחר,32.103673,34.841875,Center,Tel Aviv,3
4032,האילן/ההדס,32.519262,34.920769,North,Periphery,3
3500,שאגאל/הנרי מטיס,32.801061,35.140025,North,Haifa,3
49117,אהרונוביץ',32.092685,34.838868,Center,Tel Aviv,3
34796,חרמש/מרכז,32.42377,35.11975,Center,Periphery,3
9579,אורוגואי/מרקו ברוך,31.758318,35.176832,Jerusalem,Jerusalem,3
29325,זיסמן/דרך בגין,32.084093,34.800513,Center,Tel Aviv,3
10628,ככר השבת/שטראוס,31.787193,35.218668,Jerusalem,Jerusalem,3
5247,קיבוץ חוקוק,32.879412,35.496444,North,Periphery,3
24653,הדס/הכלנית,32.190505,34.884079,Center,Tel Aviv,3
3149,השיטה/מגרשי טניס,32.766176,35.039407,North,Haifa,3
190,חוף פולג/רמת פולג,32.27242,34.838508,Center,Tel Aviv,3
3159,מנחם בגין/שניאורסון,32.854742,35.091005,North,Haifa,3
3302,הרר/האורן,32.798225,35.136404,North,Haifa,3
19281,מזרקה,32.891728,35.237305,North,Periphery,3
8744,שמואל הנביא/יקים,31.791505,35.224204,Jerusalem,Jerusalem,3
44006,אמרי סופר/שבט הלוי,31.7076,35.114676,Jerusalem,Jerusalem,3
28740,מרכז מסחרי,31.202771,34.839607,South,Beer Sheva,3
25826,שוק עירוני/דרך חברון,31.238831,34.796231,South,Beer Sheva,3
35353,שדה אליהו,32.439373,35.514577,Center,Periphery,3
6648,מגרש כדורגל,32.967149,35.321362,North,Periphery,3
20210,קורנית,32.844825,35.250796,North,Periphery,3
35194,בית ספר א זהרא,31.389974,34.761058,South,Beer Sheva,3
39652,אל עזי א,31.722491,34.798497,Center,Periphery,3
27709,גילת/כניסה ראשית,31.335418,34.648452,South,Beer Sheva,3
27926,עין השלושה מרכז,31.351453,34.402511,South,Periphery,3
43317,אמרי סופר/הרב אלישיב,31.707699,35.113676,Jerusalem,Jerusalem,3
3516,שאגאל/סזאן,32.808574,35.136078,North,Haifa,3
8588,אלמשאהד ג',31.732673,35.22574,Jerusalem,Jerusalem,3
1810,השקדים/ציפורנים,32.72392,35.133657,North,Haifa,3
38772,דוכיפת,32.81354,35.140809,North,Haifa,3
50037,בית עלמין בית שאן/כביש 90,32.500798,35.511915,North,Periphery,3
4047,האילן/ההדס,32.519115,34.920462,North,Periphery,3
17241,הארזים/האורנים,32.523086,34.995799,North,Periphery,3
47006,אשר וינר/לייב יפה,31.742757,35.220205,Jerusalem,Jerusalem,3
28723,בית ספר אבו באכר,31.247452,34.852558,South,Beer Sheva,3
50069,חנה וסע מבואות אילת,29.57131,34.962341,South,Periphery,3
9340,עין כרם/שד' הרצל,31.771048,35.180974,Jerusalem,Jerusalem,3
43628,התן/חי בר,31.862374,35.152272,Jerusalem,Jerusalem,3
49786,אהרון שמי/אהרונסון,31.698278,35.003309,Center,Periphery,3
43629,התן/הלביא,31.861712,35.15346,Jerusalem,Jerusalem,3
49107,בלינסון,32.091462,34.866804,Center,Tel Aviv,2
49109,יהודית,32.070168,34.788406,Center,Tel Aviv,2
49097,שנקר,32.092669,34.853254,Center,Tel Aviv,2
49091,אצטדיון בלומפילד,32.0503,34.758947,Center,Tel Aviv,2
49108,מחרוזת,32.033272,34.751559,Center,Tel Aviv,2
49092,אליפלט,32.058423,34.763033,Center,Tel Aviv,2
49098,קרול,32.091913,34.877506,Center,Tel Aviv,2
49099,שלמה,32.054357,34.759484,Center,Tel Aviv,2
49094,ביאליק,32.087285,34.812851,Center,Tel Aviv,2
49093,ארלוזורוב,32.081554,34.796524,Center,Tel Aviv,2
49105,העצמאות,32.028191,34.748986,Center,Tel Aviv,2
49103,ז'בוטינסקי,32.021674,34.743238,Center,Tel Aviv,2
49102,גשר אם המושבות,32.099237,34.846378,Center,Tel Aviv,2
49101,אבא הלל,32.082911,34.802729,Center,Tel Aviv,2
49100,קרליבך,32.065272,34.782824,Center,Tel Aviv,2
49104,רוטשילד,32.026704,34.744437,Center,Tel Aviv,2
46528,הבנקים/מכללת עמל,32.269578,35.005018,Center,Tel Aviv,2
49090,איסקוב,32.042205,34.757079,Center,Tel Aviv,2
9570,רינגלבלום ב',31.757345,35.174304,Jerusalem,Jerusalem,2
9341,עין כרם/ברקלי,31.769691,35.168234,Jerusalem,Jerusalem,2
9537,קורצ'אק/רינגלבלום,31.759534,35.173688,Jerusalem,Jerusalem,2
46997,פרדיסיה/ח'אלד אבן אלואליד,32.279395,35.011293,Center,Periphery,2
46932,דוכיפת/מעלה הכרמים,32.942729,35.077148,North,Haifa,2
46917,פרדיסיה/ח'אלד אבן אלואליד,32.279409,35.010369,Center,Periphery,2
46873,אלבלדיה/אלבריד,32.268653,35.003763,Center,Tel Aviv,2
46864,בלאל בן רבאח/מוסא חסן,32.27106,35.004267,Center,Tel Aviv,2
46824,בלאל בן רבאח/אלאח'ווה,32.273602,35.005085,Center,Tel Aviv,2
47070,ח'אלד אבן אלואליד/עין גאלות,32.276241,35.012828,Center,Periphery,2
46782,ח'אלד אבן אלואליד/מוחמד דווריש,32.272421,35.012658,Center,Periphery,2
46773,עיריית טייבה/אלבלאדיה,32.266551,35.002707,Center,Tel Aviv,2
46710,עיריית טייבה/אלבלאדיה,32.266824,35.002876,Center,Tel Aviv,2
9578,עין כרם/מדרגות הכפר,31.76855,35.165512,Jerusalem,Jerusalem,2
46702,אלבלדיה/סמיח אלקסם,32.264053,35.002199,Center,Tel Aviv,2
46701,דוכיפת/מעלה הכרמים,32.942541,35.076593,North,Haifa,2
46600,ח'אלד אבן אלואליד/אלראזי,32.269611,35.01147,Center,Tel Aviv,2
9304,צ'ילה/סירני,31.761179,35.172362,Jerusalem,Jerusalem,2
47117,תיכון עתיד טייבה,32.27143,35.002217,Center,Tel Aviv,2
48994,עין ח'אלד ,32.516442,35.142955,North,Periphery,2
8959,א סאפה/אל בוטמה,31.741692,35.200588,Jerusalem,Jerusalem,2
48975,א-שאע'ור,32.516408,35.142818,North,Periphery,2
8598,אום טובא 9,31.735416,35.231918,Jerusalem,Jerusalem,2
48430,עין אבראהים ו,32.536046,35.14575,North,Periphery,2
48429,עין אבראהים ה,32.537569,35.145815,North,Periphery,2
48426,עין אבראהים ב,32.537408,35.146059,North,Periphery,2
48425,עין אבראהים א,32.535955,35.146347,North,Periphery,2
49111,כ''ט בנובמבר,32.010852,34.7515,Center,Tel Aviv,2
8597,אום טובא 7,31.733533,35.230589,Jerusalem,Jerusalem,2
8594,אום טובא 3,31.728309,35.233766,Jerusalem,Jerusalem,2
8596,אום טובא 6,31.732664,35.231458,Jerusalem,Jerusalem,2
47288,אלבלדיה/נדאא אלסלאם,32.269295,35.003871,Center,Tel Aviv,2
47194,בית אבות/ח'אלד אבן אלואליד,32.279237,35.011632,Center,Periphery,2
47168,בית אבות/ח'אלד אבן אלואליד,32.279248,35.01145,Center,Periphery,2
47148,בלאל בן רבאח/עין גאלות,32.276705,35.006588,Center,Periphery,2
8595,אום טובא 4,31.729896,35.233433,Jerusalem,Jerusalem,2
47120,ביטוח לאומי/ח'אלד אבן אלואליד,32.273139,35.013309,Center,Periphery,2
49110,ארלוזורוב,32.081554,34.796524,Center,Tel Aviv,2
8897,צומת זהרה ב,31.79857,35.245247,Jerusalem,Jerusalem,2
49112,יוספטל,32.015397,34.752178,Center,Tel Aviv,2
50377,חניון שפירים מערבי ב/הורדה,32.001207,34.842142,Center,Tel Aviv,2
6557,בית ספר א,32.939184,35.317673,North,Periphery,2
8887,בית ספר יסודי/סיירת אלח'גה,31.798979,35.253471,Jerusalem,Jerusalem,2
8888,קסילה/מחגרת עתמה,31.799904,35.250885,Jerusalem,Jerusalem,2
8616,בית ספר אבן רשד/אלמדינה אלמונוורה,31.738676,35.226704,Jerusalem,Jerusalem,2
49472,קריית היובל - מערב,31.766983,35.174356,Jerusalem,Jerusalem,2
49468,קריית מנחם,31.75994,35.164145,Jerusalem,Jerusalem,2
49467,בית הספר לרפואה,31.764209,35.151229,Jerusalem,Jerusalem,2
8889,קסילה/מחגרת עתמה,31.800138,35.250343,Jerusalem,Jerusalem,2
49463,קריית מנחם,31.760043,35.164104,Jerusalem,Jerusalem,2
49461,צומת אורה,31.75706,35.159963,Jerusalem,Jerusalem,2
49459,שמריהו לוין,31.768751,35.177537,Jerusalem,Jerusalem,2
49453,יצחק טבנקין,31.838146,35.237574,Jerusalem,Jerusalem,2
49450,משה דיין - צפון,31.83349,35.234725,Jerusalem,Jerusalem,2
8890,קסילה/אום אלעסאפיר,31.799791,35.249508,Jerusalem,Jerusalem,2
8891,קסילה/אום אלעסאפיר,31.799536,35.248987,Jerusalem,Jerusalem,2
49449,גן המפלצת,31.762049,35.171515,Jerusalem,Jerusalem,2
8892,מסגד ארבעין/קסילה,31.798896,35.248602,Jerusalem,Jerusalem,2
6910,כיכר הגיבורים/הציפורנים,32.658467,35.108808,North,Haifa,2
49448,הנרייטה סאלד - מזרח,31.759818,35.168021,Jerusalem,Jerusalem,2
49447,בית הספר לרפואה,31.76408,35.151156,Jerusalem,Jerusalem,2
