from_stop,to_stop,trip_frequency
1097,1077,270
10049,9837,270
10048,9840,270
29340,13134,270
29482,13246,270
9837,10045,270
18366,5168,270
7359,7360,269
13636,13143,269
2738,2733,269
23952,24450,269
26799,28242,269
11070,11286,269
8844,8845,269
13496,47442,269
15796,15867,269
9339,9539,269
48082,13226,269
22804,16034,269
7358,7359,269
8733,10775,269
12771,28241,269
28241,26799,269
19396,19616,269
3940,2088,269
25888,25889,269
19379,18193,268
10972,10979,268
13062,13092,268
10241,10700,268
10168,11576,268
46717,47094,268
11899,40021,268
9342,34238,268
1914,1892,267
4668,49545,267
42786,355,267
1892,1893,267
1869,1862,267
1893,1869,267
7357,7358,267
38867,40793,267
7352,7353,267
5025,4848,267
4846,5025,267
9500,9488,267
9498,9500,267
4572,4847,267
2429,3090,267
40637,13088,266
13431,13433,266
5326,5327,266
37484,43697,266
11731,10085,266
8845,8846,266
44961,48510,266
10085,10086,266
44464,44470,266
4570,4572,266
17505,2143,266
36983,38869,266
13263,12830,265
10685,10452,265
44471,12862,265
1930,1934,265
10283,9446,265
9003,10866,265
13429,13178,265
2083,3940,265
25594,25891,265
3938,3884,265
36929,35588,265
35588,35587,265
13618,13615,265
23974,24053,264
7559,7561,264
44960,9553,264
23376,15594,264
14477,13101,264
42558,10972,264
35072,11284,264
1437,3910,264
3910,3908,264
15855,15845,264
15868,15855,264
13204,13354,263
42300,9181,263
8846,8847,263
51965,10456,263
9593,9324,263
8847,8848,263
47016,46976,263
9324,9373,263
44307,40775,263
13002,12906,263
12906,13180,263
10865,10777,263
18370,21165,263
21165,4590,263
13140,13207,262
24397,745,262
9609,9494,262
2124,2118,262
13488,47424,262
3920,1435,262
1435,1436,262
16189,16190,262
13203,13240,262
1436,1437,262
13692,13708,261
44468,44464,261
11851,51360,261
1931,1932,261
16278,16181,261
11576,10121,261
15867,15531,261
47424,44468,261
10353,11496,261
12865,12851,260
2657,1187,260
21083,4676,260
13359,49981,260
29398,13359,260
13178,14595,260
16190,23217,260
3974,2381,260
7484,7487,260
13215,13274,260
13433,13435,260
8486,36924,260
36924,35057,260
1249,3854,260
8851,10776,259
46240,23110,259
51360,9411,259
43743,41022,259
15433,15434,259
41022,262,259
12831,12818,259
26883,26872,259
15531,15722,259
23299,48703,259
13435,12812,259
49901,49877,259
9284,9441,258
12824,12827,258
13049,13100,258
50332,12889,258
9875,9876,258
9441,10366,258
15434,15435,258
17506,35849,258
9877,9964,257
21940,43486,257
14325,29378,257
16089,16090,257
16090,16091,257
9871,9873,257
9796,9803,257
9876,9877,257
47935,44260,257
10481,10482,257
9963,9871,257
9272,11495,257
41603,27361,257
10068,9963,257
2091,2084,257
11904,10058,257
16215,16214,257
9285,41396,257
10058,9285,257
536,540,256
13449,13473,256
7521,7520,256
12851,13742,256
540,542,256
7522,7521,256
7524,7522,256
10400,8991,256
23297,15863,256
7520,7517,256
13367,13365,256
16091,16092,256
324,320,256
24150,24159,256
41396,9276,256
9276,9284,256
15802,16403,256
9550,10483,256
13639,13133,256
9964,9969,256
7518,7639,255
7639,7640,255
34969,7472,255
7640,7523,255
3020,2732,255
3336,1783,255
2141,3626,255
1782,3336,255
16237,43596,255
29354,29355,255
15715,23297,255
13438,13436,255
13432,13430,255
3626,2142,255
35849,2627,254
44302,23998,254
24131,24177,254
15863,15865,254
3369,3521,254
10482,9549,254
9549,9272,254
9375,9372,254
2560,2561,254
1963,2560,254
8717,8718,254
25078,48870,254
25882,25556,254
11031,49251,254
7525,7524,254
7523,35056,253
14165,29402,253
29383,29378,253
13436,13432,253
7430,7452,253
2175,3852,253
25926,25927,253
7452,7453,253
7519,7518,253
24005,23998,253
48363,13204,253
11495,9550,253
10789,8703,253
13421,13256,253
13003,12950,252
2116,2117,252
13366,13368,252
14125,13052,252
12858,13635,252
3854,2175,252
2117,2151,252
7356,7357,252
10457,11612,252
2144,2116,252
7529,7583,252
7583,7525,252
15431,15432,252
15432,15433,252
42722,9451,252
16183,15841,252
50491,15224,252
17444,2719,251
2731,17444,251
13206,12951,251
2803,3486,251
11562,10497,251
38872,38868,251
3690,3372,251
9053,49737,251
2719,3020,251
40437,24713,251
1842,1782,251
24396,24397,251
