from_stop,to_stop,trip_frequency
7550,7548,651
9814,8827,651
7657,7547,651
8998,8999,650
13215,13274,649
8827,10069,649
15869,23869,649
15558,23307,649
319,321,648
321,323,648
14025,14030,648
36929,42126,648
9812,11622,647
43393,9812,647
9574,10519,647
10119,8642,646
2738,2733,646
2357,3803,646
4162,4860,646
51615,18141,646
25839,25840,645
22259,22260,645
14032,14029,645
44468,44464,644
13561,13582,644
12858,13635,644
13488,47424,643
8728,8969,643
16371,16375,643
25544,25545,643
18117,18110,642
12824,12827,642
10356,7771,642
23869,23885,642
21940,43486,642
2159,3487,642
13122,12952,642
3487,2149,642
44471,12862,642
1645,1656,642
9584,9375,641
16376,16371,641
5316,5317,641
47424,44468,641
8965,8728,640
12925,13629,640
3869,2357,640
17317,35835,640
38947,13354,640
13608,13616,639
13616,13614,639
8997,8998,639
35435,35047,639
11511,10733,639
309,307,639
13203,13240,639
1784,1849,638
46923,22085,638
2118,2115,638
13433,13435,638
16214,16220,638
15866,15869,638
4150,4506,638
2567,3563,637
16063,22259,637
13435,12812,637
13431,13433,637
23974,24053,637
15594,24279,637
13229,29398,636
33862,29432,636
13684,13669,636
4509,4511,636
506,333,636
18116,18117,635
29568,13229,635
14030,14031,634
12915,13132,634
13669,13658,634
22078,15255,633
23193,15557,633
11877,9811,633
9810,11877,633
18078,18082,632
12988,13083,632
11632,10587,632
25352,15694,631
23972,25352,631
2052,3588,631
10460,10458,630
25134,15872,630
18141,18155,629
5266,5268,629
29506,13119,629
10012,10739,629
3852,3181,628
1931,1932,628
9825,9408,628
9824,9825,628
307,302,628
43751,25878,628
27647,43751,628
16894,23116,627
323,353,627
23115,16894,627
23116,23117,627
23954,23952,627
10739,9395,627
12900,14316,626
24038,24054,626
26846,27647,626
12998,13226,625
8941,11561,625
46240,23110,625
24054,23975,625
10226,10716,625
275,280,624
11799,11510,624
9586,11799,624
26469,25986,624
10775,40026,624
282,277,624
17505,2143,624
48514,47935,623
35048,41545,623
44262,44264,623
17443,2624,623
13037,13038,623
23299,48703,623
18082,20843,623
2623,17443,623
324,320,622
17440,2864,622
23872,25135,622
2624,17440,622
2864,2865,621
39962,29483,621
14052,14044,621
2865,3369,621
12829,12886,621
43280,13449,621
13843,13953,621
2706,3019,621
35046,35048,621
3019,2623,621
2920,1858,620
13128,13062,620
3290,2920,620
2092,2093,620
13287,14332,620
332,506,619
23883,23884,619
13581,13589,619
21145,4963,619
13267,12978,619
12906,13180,618
13002,12906,618
280,283,618
3353,2531,618
13590,13596,618
35834,3977,617
24135,24717,616
13246,24763,616
38947,13730,616
13429,13178,615
16375,16374,615
15645,15844,615
41244,41240,614
13391,13442,614
41240,41241,614
3228,1848,613
10591,11070,613
35790,35834,613
3954,2164,613
11850,9973,613
9700,10647,612
1991,17301,612
7609,7610,612
13388,13391,612
28915,27624,612
8830,8831,612
48898,48906,612
18199,21080,611
24767,21507,611
15678,50466,611
13277,29482,611
19396,19616,611
371,368,610
372,371,610
366,356,610
13618,13615,610
7608,7609,610
24055,24037,610
13003,12950,610
3821,2804,610
368,366,610
601,333,609
4166,4164,609
13250,13345,609
8388,7602,609
2149,2859,608
7389,7390,608
44302,23998,608
7390,7391,608
7391,7490,608
24237,42514,608
27624,43750,608
43750,27646,608
48906,48894,608
2027,3731,607
13226,48363,607
25107,22309,607
13931,13929,607
11026,11031,607
8641,8639,607
16324,16331,606
13049,13100,606
7602,7603,606
29482,13246,606
21595,21474,606
8831,9994,606
2564,2007,605
