stop_id,stop_name,region,metro,lat,lon,stop_use_count,degree,degree_centrality,weighted_degree,in_degree,out_degree,in_weight,out_weight,pagerank,betweenness,approx_harmonic,in_largest_component,nearest_alt_m,is_isolated,distance_band
49657,בי''ס יסודות וחט''ב/ביר באקה,Center,Periphery,32.412537,35.032836,,2,6.565557087518876e-05,446.0,1,1,223.0,223.0,3.402661002790217e-05,0.0009639174051259,3418.810712235481,True,94.92483213482993,False,< 100 m
14468,המעפילים/נורדאו,Center,Tel Aviv,32.179859,34.817974,,4,0.0001313111417503,382.0,2,2,191.0,191.0,2.6217494781878263e-05,0.0009635820249963,3143.3801634085557,True,20.576442870045344,False,< 100 m
20394,מכללת תל חי/כביש 90,North,Periphery,33.232877,35.57882,,3,9.848335631278314e-05,420.0,2,1,210.0,210.0,5.886871694596957e-05,0.0009621081341328,1811.2200325720075,True,175.14086168456166,False,100-300 m
1381,צומת עדה,North,Periphery,32.511005,34.957873,,4,0.0001313111417503,388.0,2,2,194.0,194.0,1.2188647710413854e-05,0.0009618312550755,2561.313799328945,True,98.49958362768277,False,< 100 m
9034,בן זאב/הדקל,Jerusalem,Periphery,31.744808,34.98007,,5,0.0001641389271879,1198.0,2,3,599.0,599.0,2.468903696831328e-05,0.0009599724586635,3698.931231275864,True,56.06411165515173,False,< 100 m
34431,קרני שומרון/יציאה,Center,Periphery,32.175448,35.093034,,8,0.0002626222835007,272.0,2,6,136.0,136.0,2.6181777736815297e-05,0.0009589647182967,3608.8474417737,True,22.42760972278624,False,< 100 m
2263,בן עמי/הרצוג,North,Haifa,32.808889,35.129126,,3,9.848335631278314e-05,2214.0,2,1,1107.0,1107.0,4.4703959458377015e-05,0.0009588763181597,1477.8163852327882,True,45.00199612979735,False,< 100 m
19179,כפר מנדא/כניסה,North,Haifa,32.805168,35.254224,,4,0.0001313111417503,380.0,2,2,190.0,190.0,2.9953399497948448e-05,0.0009585739196439,2741.8636159421726,True,13.36357062728039,False,< 100 m
16594,שוק/מנצורה,Center,Tel Aviv,32.104628,34.941635,,5,0.0001641389271879,1936.0,3,2,968.0,968.0,4.351753879953069e-05,0.0009568514018803,3243.3170296339804,True,24.528468681877968,False,< 100 m
44129,דרך הרב שלום איפרגן/הרב קוק,South,Periphery,31.525408,34.58886,,4,0.0001313111417503,572.0,2,2,286.0,286.0,3.350432260342529e-05,0.0009550256793933,2625.7442252507035,True,66.9897453630953,False,< 100 m
47912,ת.מרכזית עפולה/רציפים,North,Periphery,32.608723,35.292777,,3,9.848335631278314e-05,205.0,1,2,30.0,175.0,3.352052496149704e-05,0.0009533738450778,3472.701029779046,True,0.0,False,< 100 m
16930,צומת כרכור,Center,Periphery,32.465582,34.993333,,3,9.848335631278314e-05,118.0,2,1,59.0,59.0,1.0863665916364984e-05,0.0009530430313035,3432.007625841481,True,117.32991481234876,False,100-300 m
20603,צומת חנתון,North,Haifa,32.779251,35.244981,,4,0.0001313111417503,554.0,2,2,277.0,277.0,4.219178147653172e-05,0.0009518160697153,3035.810664010484,True,65.17806029790803,False,< 100 m
7877,מצפה נבו/מבוא הקתרוס,Jerusalem,Jerusalem,31.787923,35.298329,,4,0.0001313111417503,1290.0,2,2,645.0,645.0,3.833848225970922e-05,0.0009515946230569,1880.8002362881405,True,43.907202105889084,False,< 100 m
13136,תיכון חדש רבין/דרך נמיר,Center,Tel Aviv,32.090293,34.795303,,9,0.0002954500689383,10264.0,3,6,5132.0,5132.0,9.74462540114478e-05,0.0009504624455753,3909.549402719319,True,125.63894811722481,False,100-300 m
28141,תקומה/יובל,South,Periphery,31.414323,34.57752,,6,0.0001969667126255,1114.0,2,4,557.0,557.0,4.470541398656276e-05,0.0009498531929594,2812.850653470257,True,26.389062800910242,False,< 100 m
15387,הנשיא / שד' יעל,Center,Tel Aviv,32.059621,34.852473,,2,6.565557087518876e-05,700.0,1,1,350.0,350.0,2.2972600336998388e-05,0.0009498462412043,3018.606286107791,True,23.441499598711,False,< 100 m
3181,קניון לב המפרץ,North,Haifa,32.793427,35.038721,,7,0.0002297944980631,3940.0,2,5,1973.0,1967.0,4.136962583867774e-05,0.00094937120465,3869.366344994879,True,12.474320228088983,False,< 100 m
10281,שדרות יצחק רבין/נתנאל לורך,Jerusalem,Jerusalem,31.783688,35.200707,,12,0.0003939334252511,2472.0,8,4,1236.0,1236.0,3.774226926927588e-05,0.0009488402197344,3931.298444065527,True,59.52166195580091,False,< 100 m
23642,מזכרת בתיה/כניסה מזרחית,Center,Tel Aviv,31.846297,34.838447,,6,0.0001969667126255,874.0,4,2,437.0,437.0,5.363576027454606e-05,0.0009484844544711,3328.544561754475,True,172.47321245337181,False,100-300 m
45028,זאב ז'בוטינסקי/נתן אלתרמן,Center,Tel Aviv,32.176025,34.829975,,3,9.848335631278314e-05,280.0,1,2,140.0,140.0,1.7842210629634393e-05,0.0009475420543688,2819.0403657505194,True,87.78311266499466,False,< 100 m
14634,שברץ/ששת הימים,Center,Tel Aviv,32.18098,34.881762,,4,0.0001313111417503,454.0,2,2,227.0,227.0,2.901395537026432e-05,0.000947128395382,2857.4518595193285,True,159.0643901223348,False,100-300 m
17811,מצובה/מרכז,North,Periphery,33.063,35.15811,,3,9.848335631278314e-05,92.0,2,1,46.0,46.0,2.2300622128529885e-05,0.0009466705152268,1655.1376058662954,True,439.40416150393696,True,300-500 m
2320,ירושלים/משה שרת,North,Haifa,32.840708,35.06814,,2,6.565557087518876e-05,1122.0,1,1,561.0,561.0,2.6224699156972068e-05,0.0009466615781618,2069.966009944258,True,46.78755868015928,False,< 100 m
28918,ששת הימים/שמואל רודנסקי,South,Beer Sheva,31.271247,34.765025,,4,0.0001313111417503,1074.0,2,2,537.0,537.0,2.227672705317912e-05,0.0009465748697442,2833.2080954493163,True,72.62776227395862,False,< 100 m
35589,שדרות בית הלל/עטרת שלמה,Center,Tel Aviv,31.936169,35.042157,,2,6.565557087518876e-05,2578.0,1,1,1289.0,1289.0,4.147077304213004e-05,0.0009447944404341,3456.472715589059,True,20.971347303057907,False,< 100 m
5283,צומת אפיקים,North,Periphery,32.678711,35.580494,,4,0.0001313111417503,654.0,1,3,327.0,327.0,4.536426715808277e-05,0.0009437861675124,1581.1938261160335,True,112.756606261856,False,100-300 m
14837,צומת הרוא''ה,Center,Periphery,32.392873,34.903167,,5,0.0001641389271879,1040.0,3,2,520.0,520.0,5.994149164018057e-05,0.0009410558359028,3093.574122133446,True,132.27049254396437,False,100-300 m
36363,ת.מרכזית תל אביב קומה 6/רציפים,Center,Tel Aviv,32.055908,34.779085,,4,0.0001313111417503,78.0,0,4,0.0,78.0,5.108494361638839e-06,0.000940995520661,3701.2848252670583,True,0.0,False,< 100 m
47907,ת. מרכזית יבנה/רציפים,Center,Tel Aviv,31.890474,34.732193,,6,0.0001969667126255,522.0,3,3,261.0,261.0,2.800117687255138e-05,0.000940935470938,3803.254387379781,True,0.0,False,< 100 m
15883,מחלף פתח תקווה דרום לצפון,Center,Tel Aviv,32.069101,34.903747,,8,0.0002626222835007,2170.0,6,2,1085.0,1085.0,9.662121855157302e-05,0.0009401898834203,3861.283381124084,True,139.88189265724313,False,100-300 m
8170,דרך כוכב יעקב/שמחת עולם,Jerusalem,Jerusalem,31.879327,35.243033,,4,0.0001313111417503,582.0,3,1,291.0,291.0,2.446710819001364e-05,0.0009399151500694,2299.831413519033,True,87.45769190745939,False,< 100 m
14166,שדרות אבא אבן/אריה שנקר,Center,Tel Aviv,32.161098,34.810376,,9,0.0002954500689383,2162.0,4,5,1081.0,1081.0,5.679852310320424e-05,0.0009395870730323,3664.7841110645913,True,136.89422604054582,False,100-300 m
7870,צומת אבנת,Center,Periphery,31.675555,35.439178,,3,9.848335631278314e-05,262.0,2,1,131.0,131.0,3.125979350808155e-05,0.0009387086336776,1782.301908879534,True,97.65732425008378,False,< 100 m
12145,מלון קלאב הוטל/דרך מצריים,South,Periphery,29.548888,34.952467,,4,0.0001313111417503,182.0,2,2,91.0,91.0,3.6019794564265134e-05,0.0009376873895702,2727.911022802225,True,21.364866842188015,False,< 100 m
15823,צומת הטייסים,Center,Tel Aviv,32.025435,34.907995,,6,0.0001969667126255,1206.0,3,3,603.0,603.0,5.6735120791951946e-05,0.0009365540464655,3429.481420428212,True,108.44844665071986,False,100-300 m
26433,שד. ירושלים/חפץ חיים,South,Periphery,31.423214,34.59679,,7,0.0002297944980631,1828.0,2,5,914.0,914.0,5.684288405686563e-05,0.0009362494732746,3562.6188628960977,True,60.20718075837559,False,< 100 m
2136,גאולה/רבי עקיבא,North,Haifa,32.802606,35.000393,,5,0.0001641389271879,1382.0,3,2,691.0,691.0,3.067048649391478e-05,0.0009343043361923,3483.045259110228,True,67.26944875975651,False,< 100 m
10097,ממילא/קריב,Jerusalem,Jerusalem,31.776697,35.225996,,9,0.0002954500689383,2468.0,4,5,1087.0,1381.0,3.97078898812894e-05,0.0009326189174285,3301.330474285788,True,86.36877601597809,False,< 100 m
27657,צומת דורות למזרח,South,Periphery,31.529039,34.611013,,5,0.0001641389271879,56.0,2,3,28.0,28.0,8.65478789700776e-06,0.00093257027221,3653.491442915751,True,101.32955752279183,False,100-300 m
42112,צומת חניתה,North,Periphery,33.073393,35.148934,,3,9.848335631278314e-05,190.0,2,1,95.0,95.0,5.7932928244697226e-05,0.0009325567754777,1463.401380855545,True,104.80812465137116,False,100-300 m
5807,צ. פארק תעשייה/שד. הנשיא הרצוג,North,Periphery,33.018381,35.269121,,4,0.0001313111417503,190.0,2,2,95.0,95.0,2.985118436793176e-05,0.0009315919619281,2100.423967218004,True,104.19314160859194,False,100-300 m
17907,מסעף נחף,North,Periphery,32.927907,35.319294,,6,0.0001969667126255,738.0,2,4,369.0,369.0,4.6223200632356616e-05,0.0009311326849182,3215.9873272541977,True,108.74069709516638,False,100-300 m
1766,מסעף שפרעם צפון,North,Haifa,32.821535,35.149518,,5,0.0001641389271879,554.0,4,1,277.0,277.0,2.384331588366423e-05,0.0009292275012103,3258.6254845794065,True,98.18054448593392,False,< 100 m
7962,חוף קליה,Center,Periphery,31.770882,35.498716,,3,9.848335631278314e-05,254.0,1,2,127.0,127.0,3.134193245936477e-05,0.000929177637914,2152.915039885127,True,71.59167052819197,False,< 100 m
39146,כביש 8510/שדרות מנוף,North,Haifa,32.943451,35.086608,,6,0.0001969667126255,608.0,3,3,304.0,304.0,3.153238166096673e-05,0.0009278436102278,2587.4093421757584,True,142.62779144964202,False,100-300 m
