fare_id,route_id,origin_id,destination_id,contains_id
201,,3103,1699,
201,,40365,40424,
201,,61115,61538,
202,,19790,13895,
202,,31100,19987,
202,,65138,21165,
201,,19853,16229,
201,,47962,42049,
201,,53330,53646,
202,,35290,63984,
202,,60472,3857,
204,,43077,5433,
201,,30057,13322,
201,,25211,21449,
201,,34148,61284,
202,,557,60314,
201,,65387,60373,
201,,59734,51162,
202,,51015,50585,
202,,53051,42409,
204,,51484,55366,
204,,55240,51456,
201,,26426,26901,
202,,3523,60899,
201,,63418,63097,
202,,37103,21140,
202,,52703,50497,
202,,55624,55413,
204,,40255,57065,
201,,11862,11866,
201,,21398,20172,
201,,516,9862,
201,,36242,25959,
201,15809,,,
202,,10634,11997,
202,,15622,19116,
202,,15191,12925,
202,,37865,37785,
204,,15211,60402,
201,,26749,39101,
201,,34154,34002,
202,,52073,54134,
202,,50881,57016,
202,,57120,41462,
201,,55624,56719,
201,,36609,36620,
201,,55773,52351,
202,,51588,57366,
204,,13937,16136,
201,,26620,36243,
201,,53920,43083,
201,,57411,58068,
202,,38530,61495,
201,,10024,10035,
201,,13332,13179,
201,,26323,37170,
201,,33891,33121,
201,,40010,40838,
201,,40554,55489,
204,,51569,42078,
201,,50579,56979,
201,,50094,56793,
201,,55042,51636,
201,,59038,55625,
202,,20657,31782,
202,,63449,30271,
201,,14840,15280,
201,,39932,38634,
202,,639,15151,
204,,20750,14929,
201,,14047,19295,
201,,21378,31349,
201,,35081,60300,
201,,41477,51523,
201,,56733,58113,
202,,12291,5453,
202,,30996,20380,
202,,50190,59127,
205,,51665,63887,
201,,34522,34514,
201,,57985,53818,
202,,664,60022,
202,,52952,51684,
202,,40555,20105,
202,,53329,60326,
202,,63428,35517,
204,,55048,64005,
201,,38802,38765,
201,,40827,47562,
202,,20725,34749,
202,,52678,40658,
202,,58009,57368,
201,,663,612,
201,,11039,31014,
201,,30766,31090,
201,,51118,51071,
201,,54462,52881,
201,,55993,59245,
202,,21450,34201,
202,,34286,31010,
204,,12913,65386,
201,,242,5975,
201,,15578,15303,
201,,31862,33442,
201,,43461,43897,
201,,50602,50507,
201,,58165,54669,
202,,21532,35481,
202,,55178,50759,
201,,28566,36224,
201,,57294,54146,
202,,37634,32003,
201,,14217,16086,
201,,21274,21415,
201,,51536,53516,
201,,59951,50615,
202,,57011,54414,
201,,31748,31232,
201,,55521,55382,
204,,20754,1996,
202,,152,60270,
201,,61017,63905,
202,,40297,53463,
202,,52681,51293,
202,,61152,63354,
201,,15291,12451,
201,,21615,31989,
201,,36032,20109,
201,,54075,53901,
201,,61175,60878,
202,,63514,1570,
201,,18505,13969,
201,,42220,43306,
202,,30059,60319,
201,,11364,30779,
201,,40424,40462,
202,,6222,154,
202,,56948,52485,
202,,55639,57145,
201,,14098,14071,
201,,20807,20349,
201,,27063,32270,
201,,33279,36358,
201,,37570,39544,
202,,15299,15352,
204,,21370,294,
201,,39660,32639,
201,,47090,42954,
201,,59300,50575,
201,,59353,59500,
202,,33588,25951,
202,,50608,50991,
202,,38160,35193,
201,,13106,16474,
201,,31092,37792,
201,,33192,33187,
201,,36799,36157,
201,,35137,34021,
202,,53575,53390,
202,,58333,52061,
201,,54140,54077,
201,,36720,25208,
202,,61466,60238,
201,,10510,15577,
201,,18042,14847,
201,,51250,52803,
201,,57122,57123,
201,,60088,211,
201,,55300,55574,
202,,41504,57467,
202,,58029,57075,
205,,53183,20269,
221,,10330,11615,
201,,5480,5383,
201,,58115,58116,
202,,50315,57582,
204,,32362,13419,
204,,56020,51012,
201,,37560,60314,
201,,35293,31094,
202,,19157,640,
202,,19294,16077,
202,,32578,21188,
202,,33283,36966,
202,,60809,58029,
204,,12071,16475,
204,,23014,55607,
204,,52174,53557,
201,,588,5275,
201,,15277,15595,
201,,31329,33432,
201,,52981,52106,
201,,63638,35540,
202,,30769,63436,
202,,42410,54251,
202,,54322,53148,
204,,22277,1356,
204,,15567,31088,
201,,30170,31811,
201,,30835,31924,
201,,52974,52046,
202,,21711,60380,
202,,31745,60378,
202,,52945,50942,
202,,58258,42647,
204,,11431,11052,
202,,63354,60034,
204,,23014,58119,
211,,17116,17014,
201,,33440,36104,
201,,40492,47351,
201,,57566,53180,
202,,16119,15548,
202,,16515,12083,
202,,34285,25405,
202,,53049,43037,
204,,10509,1451,
204,,32450,1992,
204,,42078,60250,
201,,39686,34864,
201,,51430,52754,
201,,55509,56773,
201,,55071,52156,
202,,3087,60282,
202,,5241,37663,
201,,5341,5220,
201,,22951,34935,
201,,33453,33286,
201,,37605,32037,
201,,60240,60001,
202,,11358,20164,
202,,11012,21374,
202,,16072,10351,
202,,30822,21498,
204,,60055,21165,
202,,19589,10446,
202,,40297,52432,
202,,39247,31424,
202,,55506,58073,
201,,1059,63568,
201,,13959,15543,
201,,60079,60084,
202,,32054,20013,
202,,51455,50977,
202,,60250,11359,
204,,601,21597,
205,,4170,53388,
205,,60095,53268,
201,,179,2612,
201,,15982,19239,
201,,32930,21274,
201,,37509,34280,
201,,52182,55208,
201,,47763,47778,
201,,52950,54193,
202,,20348,30929,
202,,30173,21133,
202,,50298,57076,
204,,10536,65298,
204,,13635,37792,
201,,47138,40662,
201,,47879,39738,
201,,53348,58293,
201,,54001,54138,
202,,33587,60379,
202,,39190,26966,
204,,11364,35629,
201,,31332,21221,
201,,36115,39739,
201,,51200,54134,
201,,58472,52980,
201,,61430,1729,
201,,63500,6197,
201,,63279,60499,
202,,1447,60366,
202,,39637,38527,
204,,31152,51099,
201,,31094,36062,
201,,35386,32162,
201,,35126,63637,
201,,40458,47879,
202,,1059,61355,
221,,19476,19121,
201,,32892,37602,
201,,52067,52068,
202,,34231,32009,
202,,42397,41168,
204,,55069,35558,
205,,54244,63887,
201,,4009,800,
201,,31515,36428,
201,,39757,37915,
201,,42091,41876,
201,,52428,52520,
201,,50638,59304,
202,,63502,4216,
202,,60364,60515,
204,,669,15469,
204,,53364,20092,
201,,56677,53175,
201,,55503,55557,
202,,110,60257,
202,,26484,65410,
202,,39350,21534,
202,,50535,41654,
201,,26852,20312,
201,,52355,52982,
201,,53184,59903,
202,,11013,34290,
202,,35594,234,
202,,60203,1340,
204,,33711,56695,
204,,53925,25071,
202,,659,63984,
204,,32158,15420,
204,,23014,55056,
204,,39276,60270,
