socio_unit_id,socio_locality,socio_locality_code,socio_stat_area_code,socio_cluster,stops,active_stops,total_stop_use_count,avg_stop_use_count,median_stop_use_count,avg_proximity_degree,critical_stops,dominant_region,dominant_metro,louvain_communities,socio_population,socio_index_value,active_stop_share,stops_per_1000_residents,stop_use_count_per_1000_residents,stop_use_count_per_stop,critical_stop_share
13090005,אלעד,1309.0,5.0,2,10,10,5718.0,571.8,598.0,36.1,0,מרכז,תל אביב,0,6362.22634028378,-1.60267591879048,1.0,1.571776838035907,898.7419959889316,571.8,0.0
13090006,אלעד,1309.0,6.0,2,14,14,7322.0,523.0,376.0,28.214285714285715,0,מרכז,תל אביב,0,7374.91902236287,-1.45164827038841,1.0,1.8983259283997538,992.8244605530712,523.0,0.0
13090007,אלעד,1309.0,7.0,2,18,15,4397.0,244.27777777777777,112.0,24.333333333333332,0,מרכז,תל אביב,0,8398.55463280008,-1.37242320513744,0.8333333333333334,2.14322592243456,523.5424656080423,244.27777777777777,0.0
700133,אשדוד,70.0,133.0,2,35,32,27397.0,782.7714285714286,832.0,16.97142857142857,0,מרכז,פריפריה,0,3964.75207737573,-1.15797717325305,0.9142857142857143,8.827790317513752,6910.142037969264,782.7714285714286,0.0
700141,אשדוד,70.0,141.0,2,16,14,8633.0,539.5625,237.0,13.5625,0,מרכז,פריפריה,0,6005.62559676729,-1.94158356748417,0.875,2.6641687434881867,1437.4855476583446,539.5625,0.0
700142,אשדוד,70.0,142.0,2,6,6,9873.0,1645.5,1467.0,20.666666666666668,0,מרכז,פריפריה,0,3356.27382747588,-1.67600210855359,1.0,1.787696805570945,2941.65509356699,1645.5,0.0
700143,אשדוד,70.0,143.0,2,6,6,6776.0,1129.3333333333333,810.5,22.333333333333332,0,מרכז,פריפריה,0,4649.63590482025,-1.48209309650476,1.0,1.2904236208645574,1457.3184091630403,1129.3333333333333,0.0
700144,אשדוד,70.0,144.0,2,6,6,10679.0,1779.8333333333333,2022.5,20.666666666666668,0,מרכז,פריפריה,0,7234.94180657168,-1.77538715953293,1.0,0.8293086745424889,1476.0312225732064,1779.8333333333333,0.0
700211,אשדוד,70.0,211.0,2,7,5,6558.0,936.8571428571429,572.0,16.571428571428573,0,מרכז,פריפריה,0,7622.49969669276,-1.63220090259183,0.7142857142857143,0.9183339165021089,860.3476892029757,936.8571428571429,0.0
700212,אשדוד,70.0,212.0,2,9,7,9572.0,1063.5555555555557,1575.0,25.88888888888889,0,מרכז,פריפריה,0,7242.26394731146,-1.62028068868288,0.7777777777777778,1.2427053288137977,1321.686156378408,1063.5555555555557,0.0
700213,אשדוד,70.0,213.0,2,9,9,11353.0,1261.4444444444443,1246.0,23.555555555555557,0,מרכז,פריפריה,0,4715.02606034391,-1.76513027425322,1.0,1.908791146605783,2407.833987490606,1261.4444444444443,0.0
700221,אשדוד,70.0,221.0,2,10,8,3181.0,318.1,240.0,28.7,0,מרכז,פריפריה,0,4031.83710893587,-1.44270928788426,0.8,2.4802589315517554,788.9703661266134,318.1,0.0
700222,אשדוד,70.0,222.0,2,9,9,7268.0,807.5555555555555,554.0,31.22222222222222,0,מרכז,פריפריה,0,4113.1074749286,-1.25677341905274,1.0,2.188126630500029,1767.033816719357,807.5555555555555,0.0
700223,אשדוד,70.0,223.0,2,12,12,3830.0,319.1666666666667,142.0,25.083333333333332,0,מרכז,פריפריה,0,4016.79046229254,-1.31737654520319,1.0,2.9874597922519284,953.4975836937406,319.1666666666667,0.0
700322,אשדוד,70.0,322.0,2,7,7,10763.0,1537.5714285714287,1838.0,29.285714285714285,0,מרכז,פריפריה,0,4354.76298674581,-1.44921495936765,1.0,1.6074353578610947,2471.546679522709,1537.5714285714287,0.0
71000222,אשקלון,7100.0,222.0,2,15,11,12231.0,815.4,989.0,18.333333333333332,0,מרכז,פריפריה,0,478.622821993364,-1.22958106991157,0.7333333333333333,31.339918012116794,25554.569147080034,815.4,0.0
71000223,אשקלון,7100.0,223.0,2,18,16,2465.0,136.94444444444446,148.0,10.0,0,מרכז,פריפריה,0,1654.73313630067,-1.21793298290607,0.8888888888888888,10.877886956588599,1489.6661859994942,136.94444444444446,0.0
71000313,אשקלון,7100.0,313.0,2,6,6,3061.0,510.1666666666667,553.0,19.666666666666668,0,מרכז,פריפריה,0,3741.41132950713,-1.65379386313267,1.0,1.6036729115241124,818.1404636958847,510.1666666666667,0.0
