mode_label,from_stop,to_stop,trip_frequency
bus,13834,13836,1191
bus,13836,13839,1244
bus,13886,13894,940
bus,13894,13905,363
bus,13905,13910,512
bus,13910,14023,363
bus,14023,14589,901
bus,14589,14015,363
bus,14015,14019,1408
bus,14019,14020,1408
bus,14020,14022,1390
bus,13112,12981,2314
bus,12981,12969,2022
bus,12969,13082,2502
bus,13082,13161,2245
bus,13161,13081,2245
bus,13081,13162,2347
bus,13162,13618,1142
bus,13618,13615,1659
bus,13615,13617,2037
bus,13617,13610,2037
bus,13610,13607,1327
bus,13607,13603,2544
bus,13603,42863,1976
bus,42863,13523,2636
bus,13523,13501,1934
bus,13501,47423,1176
bus,47423,47398,3261
bus,47398,13075,1778
bus,13075,13512,2464
bus,13512,50497,2131
bus,50497,13540,2032
bus,13540,13483,1511
bus,13483,13488,900
bus,13488,47424,1707
bus,47424,44468,1707
bus,44468,44464,1776
bus,44464,44470,1814
bus,44470,51963,2020
bus,51963,44471,2020
bus,44471,12862,1803
bus,12862,13308,1368
bus,13308,13307,1398
bus,13307,13085,1398
bus,13085,14472,1398
bus,14472,13700,1160
bus,24660,13419,2477
bus,13419,13421,1939
bus,13421,13256,1587
bus,13256,13431,1122
bus,13431,13433,1685
bus,13433,13435,1685
bus,13435,12812,1685
bus,12812,13520,1018
bus,13520,13517,783
bus,13517,13521,783
bus,13521,13523,783
bus,13523,13150,595
bus,13150,13357,824
bus,13357,13109,824
bus,13109,13167,824
bus,13167,48897,637
bus,48897,13569,595
bus,13569,13228,1416
bus,13228,13574,2260
bus,13574,42146,595
bus,42146,13585,595
bus,13585,13583,1783
bus,13583,13565,2616
bus,13565,13664,3636
bus,13664,29490,1892
bus,29490,13670,2106
bus,13670,13683,2106
bus,13683,13687,595
bus,13687,13691,595
bus,13691,13718,595
bus,13718,13723,1864
bus,13723,13733,1864
bus,13733,29478,595
bus,29478,13136,595
bus,13136,13730,722
bus,24086,24158,1456
bus,24158,13417,359
bus,13417,13410,892
bus,13410,13407,892
bus,13407,13405,892
bus,13405,13409,892
bus,13409,13418,582
bus,13418,13421,582
bus,12812,44458,527
bus,44458,13439,606
bus,13439,13604,1038
bus,13604,13615,378
bus,13610,13063,710
bus,13063,13627,1767
bus,13627,12999,1435
bus,12999,13095,2292
bus,13095,13130,1772
bus,13130,12987,1794
bus,12987,13056,1241
bus,13056,13058,842
bus,13058,13059,1385
bus,13059,50385,1055
bus,50385,51635,669
bus,51635,13636,1038
bus,13636,12946,1001
bus,12946,13239,1267
bus,13239,13713,1075
bus,13713,43652,1133
bus,43652,13722,1133
bus,13722,13733,1133
bus,13733,13067,1964
bus,13067,13179,2374
bus,13179,13208,1778
bus,13208,13762,834
bus,13762,13764,834
bus,13764,12920,834
bus,12920,14349,1274
bus,14349,13145,2347
bus,13145,29568,845
bus,29568,13229,1633
bus,13229,29398,1633
bus,29398,13359,1729
bus,13359,49981,1729
bus,49981,48366,597
bus,50867,16661,411
bus,16661,15804,411
bus,15804,24190,866
bus,24190,15717,745
bus,15717,15533,955
bus,15533,15643,90
bus,15643,15351,213
bus,24199,15909,114
bus,15909,48656,928
bus,48656,15907,928
bus,15907,25092,555
bus,25092,23320,114
bus,23320,48441,427
bus,48441,16789,1024
bus,16789,33938,674
bus,33938,24201,937
bus,24201,14041,377
bus,14041,14032,421
bus,14045,14046,479
bus,14046,14053,138
bus,14053,14044,127
bus,14044,29432,129
bus,29432,13174,4060
bus,13174,13043,4011
bus,13043,13120,2843
bus,13120,41237,1193
bus,41237,12900,2691
bus,12900,44307,2654
bus,44307,13088,2361
bus,13088,13087,1501
bus,13087,14533,114
bus,14533,14009,542
bus,14009,14083,542
bus,14083,14085,542
bus,14085,14086,542
bus,14086,14184,546
bus,14184,14181,546
bus,14181,14187,445
bus,14187,14190,445
bus,14190,14199,400
bus,14199,14202,400
bus,14202,14193,400
bus,14193,49372,618
bus,49372,14206,2916
bus,49936,13122,828
bus,13122,14370,416
bus,14370,13019,1979
bus,13019,13268,622
bus,13268,13612,1000
bus,13612,13079,1003
bus,13079,12925,828
bus,12925,13629,1704
bus,13629,29476,1000
bus,29476,12885,545
bus,12885,12828,2006
bus,12828,13816,1050
bus,13816,13818,1068
bus,13818,36828,545
bus,36828,14596,289
bus,14596,13853,289
bus,13864,13001,752
bus,13001,13003,685
bus,13003,12950,1569
bus,12950,13901,545
bus,13901,13903,1069
bus,13903,14024,289
bus,7175,43385,19
bus,43385,20718,17
bus,20718,7157,17
bus,7157,6336,188
bus,6336,20322,113
bus,20322,20323,311
bus,20323,4384,321
bus,4384,20324,318
bus,20324,20201,326
bus,20201,4381,315
bus,4381,4289,315
bus,4289,20528,315
bus,20528,51687,17
bus,51687,4290,19
bus,4290,20635,317
bus,20635,20636,72
bus,20636,4288,315
bus,4288,44955,72
bus,44955,44954,78
bus,44954,44953,78
bus,44953,44952,78
bus,44952,44951,78
bus,44951,4292,74
bus,4292,20530,336
bus,20530,20531,336
bus,20531,20532,310
bus,20532,19999,156
bus,19999,51694,141
bus,51694,20254,107
bus,20254,19828,100
bus,19828,4400,105
bus,4400,19825,70
bus,19825,18962,70
bus,18962,18961,70
bus,18961,18955,70
bus,18955,18703,78
bus,18703,7197,445
bus,51577,5267,89
bus,5267,5269,337
bus,5269,5270,667
bus,5270,5271,665
bus,5271,5506,81
bus,5506,5507,337
bus,5507,5274,291
bus,5274,5275,343
bus,5275,5276,392
bus,5276,5277,431
