stop_id,largest_component_share_surviving,pairs_disconnected_share,components_after,route_type,mode_label,stop_name,metro,degree,weighted_degree,exact_betweenness,is_articulation_point
48474,0.8421,0.0,2,715,demand/other bus,מרכז ביג/שדרות יגאל אלון,Periphery,3,96,0.156882,False
11035,0.8421,0.0,2,715,demand/other bus,יגאל אלון/העלייה,Periphery,2,94,0.070911,False
37274,0.8421,0.0,2,715,demand/other bus,שדרות יגאל אלון/הצבע,Periphery,2,94,0.069168,False
36797,0.8421,0.0,2,715,demand/other bus,כביש 3855/שדרות יגאל אלון,Periphery,3,94,0.072378,False
11072,0.8421,0.0,2,715,demand/other bus,כביש 3855/רבי יוסף קארו,Periphery,3,94,0.093185,False
35685,0.8421,0.0,2,715,demand/other bus,כביש 3855/הרצוג,Periphery,3,94,0.097565,False
35686,0.8421,0.0,2,715,demand/other bus,כביש 3855/הירקון,Periphery,3,94,0.103276,False
38904,0.8421,0.0,2,715,demand/other bus,כביש 375/3855,Periphery,3,94,0.140441,False
10863,0.8421,0.0,2,715,demand/other bus,צומת עציונה,Periphery,2,40,0.087849,False
10855,0.8421,0.0,2,715,demand/other bus,צומת עציונה,Periphery,2,54,0.081391,False
10818,0.8421,0.0,2,715,demand/other bus,צומת האלה,Periphery,3,88,0.149711,False
10807,0.8421,0.0,2,715,demand/other bus,מזכירות,Periphery,1,20,0.0,False
10797,0.8421,0.0,2,715,demand/other bus,לוזית מרכז ב,Periphery,1,24,0.0,False
10804,0.8421,0.0,2,715,demand/other bus,עגור/מרכז ב,Periphery,2,96,0.001133,False
10801,0.8421,0.0,2,715,demand/other bus,עגור מרכז ג,Periphery,2,96,0.001133,False
10800,0.8421,0.0,2,715,demand/other bus,מסעף עגור,Periphery,2,48,0.041739,False
10823,0.8421,0.0,2,715,demand/other bus,צומת עזקה,Periphery,2,48,0.142136,False
10821,0.8421,0.0,2,715,demand/other bus,צומת עזקה,Periphery,2,48,0.106432,False
10827,0.8421,0.0,2,715,demand/other bus,זכריה/מרכז א,Periphery,3,96,0.14614,False
10824,0.8421,0.0,2,715,demand/other bus,זכריה/מרכז ב,Periphery,2,96,0.002894,False
10633,0.8421,0.0,2,715,demand/other bus,הכלנית/38,Periphery,3,96,0.053019,False
10826,0.8421,0.0,2,715,demand/other bus,מסעף זכריה,Periphery,2,48,0.047075,False
10825,0.8421,0.0,2,715,demand/other bus,מסעף זכריה,Periphery,2,48,0.052167,False
