stop_id,stop_name,lat,lon,degree,weighted_degree,mode_label,route_type,exact_betweenness,stop_calls,n_routes,is_articulation_point,component_id,region,metro
10812,צומת ליאון שריגים,31.672404,34.935122,3,134,demand/other bus,715,0.107282,67,4,False,0,Center,Periphery
10821,צומת עזקה,31.701512,34.943003,2,48,demand/other bus,715,0.106432,24,2,False,0,Center,Periphery
10814,הכרמים,31.676149,34.934516,4,182,demand/other bus,715,0.104,91,6,True,0,Center,Periphery
11095,צרכניה,31.779984,35.011292,4,96,demand/other bus,715,0.103383,48,4,True,0,Jerusalem,Jerusalem
35686,כביש 3855/הירקון,31.705894,35.007913,3,94,demand/other bus,715,0.103276,47,2,False,0,Jerusalem,Periphery
10889,בית העם,31.740678,34.878099,3,244,demand/other bus,715,0.102823,122,2,True,0,Center,Periphery
35685,כביש 3855/הרצוג,31.738261,35.002991,3,94,demand/other bus,715,0.097565,47,2,False,0,Jerusalem,Periphery
10819,צומת האלה,31.687721,34.946281,2,48,demand/other bus,715,0.095801,24,2,False,0,Center,Periphery
11072,כביש 3855/רבי יוסף קארו,31.745656,35.001659,3,94,demand/other bus,715,0.093185,47,2,False,0,Jerusalem,Periphery
10810,מסעף ליאון שריגים,31.674564,34.933076,3,134,demand/other bus,715,0.088344,67,4,False,0,Center,Periphery
10863,צומת עציונה,31.68699,35.000045,2,40,demand/other bus,715,0.087849,20,1,False,0,Center,Periphery
10834,צומת עציונה,31.687468,35.001292,3,98,demand/other bus,715,0.082067,49,2,False,0,Center,Periphery
10855,צומת עציונה,31.686646,35.000883,2,54,demand/other bus,715,0.081391,27,1,False,0,Center,Periphery
10634,צומת עדולם,31.68369,34.980624,2,40,demand/other bus,715,0.080349,20,1,False,0,Center,Periphery
10828,צרכניה,31.660945,34.995692,3,86,demand/other bus,715,0.077844,43,2,False,0,Center,Periphery
11288,שד.יגאל אלון/הבנאי,31.754837,34.992821,2,98,demand/other bus,715,0.075235,49,2,False,0,Jerusalem,Periphery
