stop_id,stop_name,region,bt_traveltime,bt_hop_control,rank_traveltime,rank_hop_control,rank_shift_vs_control,rank_shift_vs_nb04,abs_shift
4790,דרך גולני/קוממיות,North,0.015107019948410778,0.014837018147639101,274,97,-177,73,177
4302,גן לאומי כפר נחום,North,0.012404217076304938,0.01016769286893476,362,193,-169,1349,169
4298,צומת אלמגור,North,0.01234681996117318,0.010106379485703166,366,198,-168,1379,168
4305,צומת כפר נחום,North,0.012467072706708592,0.010230416601330663,357,189,-168,1315,168
20204,צומת קצביה,North,0.008671099623737721,0.005613435551390101,649,482,-167,2317,167
7780,צומת אדומים/צומת מחנה ישי,Center,0.016676818838463937,0.017534395165597794,238,71,-167,104,167
51258,ת. מרכזית המפרץ/הורדה,North,0.01836541723297365,0.025560107881785667,197,31,-166,-162,166
20224,מחלף ישי/כביש 77,North,0.013948987663000305,0.012136227750550605,303,139,-164,-69,164
6877,מחלף אליקים/כביש 672 למערב,North,0.018874266643001975,0.006807798409176603,189,348,159,-31,159
7444,דרך האר''י/ כביש 375,Jerusalem,0.020869356075318826,0.06526833019423979,159,5,-154,-155,154
11549,מאיר גרשון/יוסף נדבה,Jerusalem,0.01081877726889835,0.005246115632083826,458,607,149,5037,149
27901,צומת דבירה,South,0.013469456177422257,0.010514029984952796,324,176,-148,-104,148
18823,צומת יאסיף,North,0.016724143693272568,0.006390378811954557,235,382,147,174,147
18958,צומת שפרעם,North,0.018905049360944393,0.02241900799771131,188,45,-143,-152,143
10216,רחמילביץ'/לבני,Jerusalem,0.010312293215487857,0.005181510920960129,496,635,139,6320,139
11081,מחלף הרטוב,Jerusalem,0.03012804071303024,0.009343111195191179,85,222,137,51,137
20408,מסעף קיבוץ קדרים לצפון,North,0.021785860481083736,0.03847040965005545,148,12,-136,-93,136
8905,שדרות נהר הירקון/אליהו הנביא,Jerusalem,0.009881572251320926,0.006308280970415874,523,389,-134,-236,134
4863,שדה נחום,North,0.014827781053516651,0.01153890294208192,284,153,-131,45,131
4902,צומת תל יוסף,North,0.015094917482732178,0.01182814123832911,276,145,-131,29,131
4638,כלא שאטה,North,0.015068286544587473,0.011796051784912507,278,147,-131,31,131
4721,מסעף בית השיטה,North,0.015044467568855562,0.011765616427032843,279,149,-130,34,130
18913,צומת ישי,North,0.009560468198386895,0.006018659922356236,549,420,-129,1451,129
4179,צומת כרמיאל,North,0.02217247800713896,0.03685192818718571,142,14,-128,-127,128
27854,צומת תפרח,South,0.013877602413277845,0.0058700764475599155,310,437,127,131,127
10218,מאיר גרשון/רחמילביץ',Jerusalem,0.010342397754260133,0.005211367345401864,494,621,127,5605,127
17675,מחלף הושעיה,North,0.025649155252407994,0.009023780572162337,107,234,127,790,127
18826,מסעף אחיהוד,North,0.014182901583356427,0.010578483149148034,301,174,-127,-148,127
13361,מחלף גהה/כביש 4,Center,0.01897457099636191,0.007386023943789416,186,313,127,1594,127
23129,צומת גמזו,Center,0.04205574568449914,0.011228469621144588,34,158,124,43,124
11080,מחלף הרטוב,Jerusalem,0.015274609232445502,0.01189881338668045,267,144,-123,70,123
16147,מסעף גן יבנה,Center,0.018336225981138866,0.016395925281765585,198,77,-121,-22,121
4884,צומת חבר,North,0.014998897236812914,0.011129669798053545,280,161,-119,-47,119
4869,צומת אומן,North,0.0151224581734222,0.011325038643266989,273,156,-117,-50,117
17488,גרנד קניון/שמחה גולן,North,0.01582176841405127,0.012226724620732965,254,137,-117,-200,117
27865,צומת ניר עם,South,0.01737786706090362,0.014110700164789578,222,106,-116,-110,116
25404,מחלף גדרה למערב,Center,0.011521121987173158,0.007538513621367013,415,305,-110,4,110
4870,מחלף אליקים לדרום,North,0.01659326889756412,0.006770212059479146,242,351,109,277,109
18829,מסעף אחיהוד,North,0.07420005442275798,0.01374771673044737,6,111,105,91,105
27778,צומת בית קמה לדרום,South,0.012175380047750402,0.008241897949618729,372,269,-103,-10,103
10328,תחנת רקל''ה גבעת המבתר/יגאל ידין,Jerusalem,0.020520666040983626,0.017991887505152963,167,66,-101,229,101
18691,צומת ראש פינה,North,0.023641259444867377,0.02627921382289869,124,27,-97,-112,97
3870,ת. מרכזית המפרץ/הורדה,North,0.012052070901239513,0.00798046099411868,378,282,-96,-263,96
4727,מסעף גבע,North,0.015680301893254627,0.010927711583964881,256,165,-91,74,91
4890,צומת יששכר,North,0.01556451520566895,0.010824186460353474,258,168,-90,82,90
8470,מסילת ישרים/מסוף,Center,0.010864044350092562,0.005424531394517577,451,537,86,1670,86
4885,צומת יזרעאל,North,0.01595132544698196,0.010878009677587796,253,167,-86,-7,86
25948,צומת עד הלום,Center,0.06601006043218426,0.014913420895552277,10,94,84,173,84
20219,מסעף גדידה,North,0.016623549873193668,0.011285223738068362,241,157,-84,120,84
25940,צומת אשקלון,Center,0.04110786899388258,0.013400465475195522,37,118,81,245,81
13246,בית ספר הולץ/חיל השריון,Center,0.02591295776017463,0.026790125448988622,105,26,-79,-59,79
2673,צומת זבולון,North,0.05728816537239111,0.0150978434580792,14,92,78,61,78
19576,צומת אבליים,North,0.045003032409997,0.014293395115492278,27,102,75,110,75
21271,צומת טבריה עילית,North,0.025460987444564685,0.02442197004418035,110,35,-75,-40,75
25938,בן גוריון/נאות אשקלון,Center,0.01307228946016408,0.006191073520335527,335,407,72,1349,72
10287,עמיחי גידי פאגלין/שדרות משה דיין,Jerusalem,0.013253412921458822,0.008631620222696403,329,257,-72,-134,72
34287,צומת שרה לצפון,South,0.014618449749665325,0.006659412291877589,291,362,71,1343,71
4762,צומת מחנה גדעון,North,0.009703172534010346,0.00570204160421316,533,466,-67,679,67
