model,degree,nodes,probability,cumulative_probability,ccdf
barabasi_albert_matched,7,613,0.020122771887207434,0.9294554049174408,0.09066736696976663
barabasi_albert_matched,8,439,0.014410924728358993,0.9438663296457999,0.07054459508255917
barabasi_albert_matched,9,302,0.009913665758461084,0.953779995404261,0.05613367035420014
barabasi_albert_matched,10,212,0.006959262055608443,0.9607392574598693,0.04622000459573905
barabasi_albert_matched,11,179,0.005875980697895808,0.9666152381577652,0.03926074254013068
barabasi_albert_matched,12,144,0.0047270459245642256,0.9713422840823294,0.03338476184223482
barabasi_albert_matched,13,124,0.00407051176837475,0.9754127958507042,0.028657715917670634
barabasi_albert_matched,14,93,0.0030528838262810624,0.9784656796769852,0.024587204149295827
barabasi_albert_matched,15,78,0.0025604832091389554,0.9810261628861241,0.021534320323014833
barabasi_albert_matched,16,57,0.001871122345140006,0.9828972852312642,0.018973837113875902
barabasi_albert_matched,17,63,0.002068082591996849,0.984965367823261,0.017102714768735816
barabasi_albert_matched,18,42,0.001378721727997899,0.9863440895512589,0.015034632176738949
barabasi_albert_matched,19,38,0.001247414896760004,0.9875915044480189,0.013655910448741149
barabasi_albert_matched,20,32,0.0010504546499031612,0.9886419590979221,0.012408495551981091
barabasi_albert_matched,21,27,0.0008863211108557922,0.9895282802087778,0.011358040902077926
barabasi_albert_matched,22,37,0.00121458818895053,0.9907428683977284,0.01047171979122219
barabasi_albert_matched,23,24,0.0007878409874273709,0.9915307093851558,0.009257131602271595
barabasi_albert_matched,24,20,0.0006565341561894758,0.9921872435413452,0.00846929061484425
barabasi_albert_matched,25,15,0.0004924006171421068,0.9926796441584873,0.007812756458654757
barabasi_albert_matched,26,10,0.0003282670780947379,0.993007911236582,0.0073203558415126935
barabasi_albert_matched,27,21,0.0006893608639989495,0.993697272100581,0.006992088763417947
barabasi_albert_matched,28,16,0.0005252273249515806,0.9942224994255326,0.006302727899418992
barabasi_albert_matched,29,12,0.00039392049371368546,0.9946164199192463,0.0057775005744673535
