station_id,station_name,main_stop_id,main_stop_code,station_lat,station_lon,stop_count,active_stop_count,stop_use_count,member_stop_ids
26211,שדרות משה דיין/רוגוזין,26211,13205,31.804984,34.642029,1,1,393,26211
26212,דרך מצדה/יהודה הלוי,26212,13206,31.259173,34.787042,1,1,382,26212
26214,דרך מצדה/דרך שמשון,28902,19416,31.2587725,34.7767055,2,2,774,26214;28902
26215,אבא הלל סילבר/נורדאו,26215,13209,31.809877,34.643381,1,1,1157,26215
26216,הטיילת/מקס נורדאו,26216,13210,31.810937,34.639712,1,1,393,26216
26218,מרכז קליטה ב/מרטין בובר,26218,13212,31.81239,34.640536,1,1,568,26218
26219,הטיילת/מקס נורדאו,26219,13213,31.813186,34.6414275,2,2,1137,26219;39628
26221,אבא הלל סילבר/מקס נורדאו,26222,13216,31.810662999999998,34.643483,2,1,527,26221;26222
26223,בית ספר יהלום/הרב מנחם מנדל הגר,26224,13218,31.8133135,34.643052499999996,2,2,771,26223;26224
26225,יצחק הנשיא/שדרות הרצל,26225,13219,31.802227,34.648395,1,1,276,26225
26226,יצחק הנשיא/רוגוזין,26226,13220,31.803832,34.644925,1,1,283,26226
26227,יצחק הנשיא,28849,19363,31.802788666666668,34.64743266666667,3,3,865,26227;28849;28852
26229,אטד/כרכום,26229,13223,31.229924,34.783308,1,1,209,26229
26231,אטד/כלנית,26231,13225,31.230345,34.78155,1,1,223,26231
26232,הראשונים/שבי ציון,26232,13226,31.808514,34.647001,1,1,24,26232
26234,עדן פרטוש/חמדה וצבי זינדר,26500,13523,31.224273,34.776544,3,3,1231,26234;26500;39184
26235,שיזף/תמר,26235,13229,31.229696,34.787738,1,1,223,26235
26236,רמב''ם/הנרייטה סולד,26236,13230,31.8051515,34.652508499999996,2,2,1444,26236;26331
26237,ז'בוטינסקי,26251,13245,31.810613500000002,34.6517595,4,3,1444,26237;26251;28850;43581
26238,גן הפעמון/חבצלת הנגב,26238,13232,31.234147,34.792995,1,1,223,26238
26240,דרך השלום/ארלוזורוב,26240,13234,31.252022,34.806899,1,1,313,26240
26242,תיכון מקיף א/דרך השלום,26242,13236,31.250751,34.801036,1,1,313,26242
26243,ז'בוטינסקי/יאיר שטרן,26243,13237,31.812147,34.645538,2,2,1144,26243;26244
26245,הראשונים/ז'בוטינסקי,26245,13239,31.810853,34.647238,1,1,32,26245
26246,ז'בוטינסקי/יאיר שטרן,26246,13240,31.811912,34.646727,1,1,566,26246
26247,בית ספר שובו בנים/אורט,26247,13241,31.812183,34.647735,1,1,176,26247
26248,אורט/יפה נוף,26248,13242,31.813654,34.648128,1,1,182,26248
26249,ז'בוטינסקי/ההסתדרות,26249,13243,31.811312,34.648829,1,1,430,26249
26253,שדרות יעלים/דרך מצדה,26253,13247,31.2566785,34.7747205,2,2,561,26253;40106
26255,קניון אביה,26255,13249,31.26288166666667,34.779081000000005,3,3,2065,26255;40112;42099
26256,הרותם/מבוא השרביטן,26256,13250,31.788884000000003,34.654412,2,2,674,26256;26257
26259,הרותם/מבוא הכרכום,26260,13254,31.7882025,34.6565645,2,2,676,26259;26260
26262,הרבנות והמועצה הדתית/סנהדרין,26262,13256,31.270237,34.790263,1,1,912,26262
26264,מרכז מסחרי רובע ו'/דב גור,26264,13258,31.792737,34.6535155,2,2,1277,26264;27118
