stop_id,stop_name,lat,lon,region,metro,degree,community_louvain,community_lp
34934,משכנות הרועים/אבני חפץ,31.880066,35.246984,Jerusalem,Jerusalem,2,39,6293
34935,משכנות הרועים/נהר שלום,31.879159,35.248042,Jerusalem,Jerusalem,2,39,6293
34712,אביר יעקב/מעייני הישועה,31.87834,35.247825,Jerusalem,Jerusalem,2,39,6253
34936,אבירי יעקב/אבני חפץ,31.879781,35.245298,Jerusalem,Jerusalem,2,39,6253
8160,מקור ברוך/אהבת ישראל,31.878246,35.239863,Jerusalem,Jerusalem,2,39,1084
34996,מקור ברוך 2,31.8768,35.239116,Jerusalem,Jerusalem,2,39,1084
8162,מועדון/אהבת ישראל,31.878932,35.238005,Jerusalem,Jerusalem,2,39,7888
8163,אהבת ישראל/מנחת אהרון,31.880076,35.238632,Jerusalem,Jerusalem,2,39,7888
38888,שילה/שבות רחל,32.049176,35.302991,Center,Periphery,2,39,6634
48780,הכרם/הגפן,32.044964,35.327359,Center,Periphery,2,39,3695
48527,הכרם,32.047317,35.32814,Center,Periphery,2,39,6557
38889,שבות רחל/מרכז,32.052766,35.309087,Center,Periphery,2,39,6635
34747,שילה ד',32.052197,35.297757,Center,Periphery,2,39,6258
34752,מעלה לבונה ו,32.055622,35.242366,Center,Periphery,2,39,6259
38158,מ. לבונה/קינמון,32.055734,35.241059,Center,Periphery,2,39,6259
34753,מעלה לבונה ז,32.055225,35.23911,Center,Periphery,2,39,105
34757,דרך החלוצים/אבשלום,31.937669,35.221088,Center,Jerusalem,2,39,6260
34758,דרך החלוצים/מבוא האורנים,31.940048,35.21954,Center,Jerusalem,2,39,6261
34759,דרך החלוצים/ברקת,31.94076,35.222094,Center,Jerusalem,2,39,6261
8435,סולם יעקב/מבוא הישיבה,31.941917,35.222069,Center,Jerusalem,2,39,6263
34761,ארץ חמדה,31.942519,35.219637,Center,Jerusalem,2,39,6263
34762,ארץ חמדה/הנצי''ב,31.94499,35.220351,Center,Jerusalem,2,39,1540
34784,מועצה מקומית/תורה ועבודה,31.942357,35.223972,Center,Jerusalem,2,39,1540
34764,ארץ חמדה/חלמיש,31.944603,35.219982,Center,Jerusalem,2,39,2269
34760,המסילה/דרך החיים,31.94301,35.227524,Center,Jerusalem,2,39,6262
34785,מסוף בית אל,31.946207,35.230073,Center,Jerusalem,2,39,6262
38160,המסילה/מנשה,31.943722,35.22807,Center,Jerusalem,2,39,1540
7931,תורה ועבודה/מעגלי הראי''ה,31.942591,35.224216,Center,Jerusalem,2,39,1540
34765,סולם יעקב/מי מרום,31.941677,35.219961,Center,Jerusalem,2,39,2269
34766,סולם יעקב/שדרות לוז,31.941908,35.222814,Center,Jerusalem,2,39,2269
34768,דרך החלוצים/החיטה,31.940035,35.219414,Center,Jerusalem,2,39,2270
34769,דרך החלוצים/פרי גן,31.93733,35.221368,Center,Jerusalem,2,39,2270
34770,דרך החלוצים/שדרות לוז,31.937379,35.222947,Center,Jerusalem,2,39,2270
34686,מצפה דני/כביש 458,31.885351,35.314499,Center,Jerusalem,2,39,64
43790,מעלה בנימין/נואית,31.831819,35.296693,Jerusalem,Jerusalem,2,39,6556
38349,מעלה בנימין/כנפי רוח,31.830984,35.291775,Jerusalem,Jerusalem,2,39,6556
38350,מעלה בנימין/צורית,31.831291,35.293475,Jerusalem,Jerusalem,2,39,3677
43789,מעלה בנימין/אשבול,31.831447,35.296151,Jerusalem,Jerusalem,2,39,3677
7934,מורד נחל פרת/מעלה בנימין,31.831147,35.296864,Jerusalem,Jerusalem,2,39,3677
7864,מועצה אזורית מטה בנימין,31.898769,35.22535,Jerusalem,Jerusalem,2,39,6254
39521,פסגות/אשקוביות,31.901304,35.222717,Center,Jerusalem,2,39,6636
38890,פסגות יציאה,31.902929,35.223135,Center,Jerusalem,2,39,6636
34748,שילה שכ.עליונה א,32.054133,35.300175,Center,Periphery,2,39,6258
34749,שילה שכ.עליונה ב,32.052526,35.299801,Center,Periphery,2,39,3572
