stop_id,stop_name,own_community,own_community_label,connected_communities,crossing_edges,crossing_weight,degree,weighted_degree,crossing_weight_share,lat,lon,region,metro
8636,גולדה/שלמה הלוי,41,Jerusalem,2,10,2596,16,13156,0.1973,31.8003,35.208257,Jerusalem,Jerusalem
24763,צומת חולון,51,Tel Aviv / Center,2,4,2595,9,5486,0.473,32.037572,34.779659,Center,Tel Aviv
13428,ת. רכבת צומת חולון/לוי אשכול,24,Tel Aviv / Center,2,4,2528,5,4020,0.6289,32.037502,34.777816,Center,Tel Aviv
21872,כיכר הלוחמים/לוי אשכול,24,Tel Aviv / Center,2,4,2493,5,3904,0.6386,32.030302,34.774231,Center,Tel Aviv
9544,הרצוג/טשרניחובסקי,9,Jerusalem,2,5,2271,8,3944,0.5758,31.769652,35.208248,Jerusalem,Jerusalem
49354,בר אילן/צפניה,39,Jerusalem,2,3,2256,4,4512,0.5,31.793723,35.215746,Jerusalem,Jerusalem
3962,מרכז חורב/חורב,28,Haifa / North,2,4,2238,8,5240,0.4271,32.785681,34.985923,North,Haifa
3899,משטרת קרית חיים/ההסתדרות,27,Haifa / North,2,2,2038,4,5100,0.3996,32.815556,35.074795,North,Haifa
8639,גבעת משה,41,Jerusalem,2,3,1892,10,7074,0.2675,31.797535,35.217057,Jerusalem,Jerusalem
1862,חורב/מאפו,28,Haifa / North,2,3,1890,4,3780,0.5,32.787024,34.985451,North,Haifa
21880,בית ספר מקווה ישראל/כביש 44,51,Tel Aviv / Center,2,2,1848,5,3696,0.5,32.035196,34.785937,Center,Tel Aviv
47406,כיכר רבין/אבן גבירול,24,Tel Aviv / Center,2,7,1822,12,4188,0.4351,32.079138,34.781405,Center,Tel Aviv
12990,בית הדר דפנה/שד' שאול המלך,24,Tel Aviv / Center,2,5,1765,11,5548,0.3181,32.077609,34.791101,Center,Tel Aviv
10492,שטראוס/פראג,41,Jerusalem,2,2,1748,4,6826,0.2561,31.785084,35.218759,Jerusalem,Jerusalem
11793,כי''ח/יפו,15,Jerusalem,2,2,1722,3,3444,0.5,31.784498,35.21412,Jerusalem,Jerusalem
2151,יד לבנים/הגיבורים,32,Haifa / North,2,4,1700,6,3974,0.4278,32.80028,35.011843,North,Haifa
1860,מרכז חורב/פיקא,32,Haifa / North,2,2,1687,8,4760,0.3544,32.785094,34.98734,North,Haifa
9468,ישעיהו/דוד ילין,15,Jerusalem,2,2,1687,4,3374,0.5,31.786481,35.217605,Jerusalem,Jerusalem
9485,שד' אשכול/משמר הגבול,39,Jerusalem,2,3,1681,5,7260,0.2315,31.797691,35.222887,Jerusalem,Jerusalem
1877,פיקא/הראל,32,Haifa / North,2,3,1675,6,4188,0.4,32.787918,34.991564,North,Haifa
13198,ת.רק''ל אבא הלל/דרך ז'בוטינסקי,37,Tel Aviv / Center,2,2,1648,5,8832,0.1866,32.083114,34.80505,Center,Tel Aviv
2804,פרויד,46,Haifa / North,2,3,1632,4,3264,0.5,32.77939,34.98825,North,Haifa
13708,גימנסיה הרצליה/ז'בוטינסקי,50,Tel Aviv / Center,2,3,1631,5,3262,0.5,32.087558,34.784929,Center,Tel Aviv
13170,צומת חולון/דרך בן צבי,31,Tel Aviv / Center,2,3,1613,5,3226,0.5,32.039169,34.777451,Center,Tel Aviv
13822,עליית הנוער/נחלת יצחק,24,Tel Aviv / Center,2,6,1604,8,2736,0.5863,32.074097,34.801249,Center,Tel Aviv
50332,ת.רק''ל אבא הלל/דרך ז'בוטינסקי,24,Tel Aviv / Center,2,3,1593,13,11832,0.1346,32.083005,34.802272,Center,Tel Aviv
50932,ת.רק''ל גבעת התחמושת/שדרות חיים בר לב,11,Jerusalem,2,2,1584,3,3168,0.5,31.798325,35.231456,Jerusalem,Jerusalem
13257,קריית שלום/דרך בן צבי,31,Tel Aviv / Center,2,3,1579,5,3158,0.5,32.040173,34.775256,Center,Tel Aviv
8797,האדמור מלובאויטש/דרוק,69,Jerusalem,2,3,1555,5,3870,0.4018,31.809878,35.21414,Jerusalem,Jerusalem
8638,גבעת משה,15,Jerusalem,2,8,1541,11,3062,0.5033,31.797708,35.217133,Jerusalem,Jerusalem
