stop_id,stop_name,lat,lon,region,metro,degree,weighted_degree,approx_betweenness
39156,ש.ג בסיס פלמחים,31.928336,34.717561,Center,Tel Aviv,5,66,0.0001234963031646396
50250,אברהם בר/דוד סחרוב,31.98812,34.775305,Center,Tel Aviv,5,2922,6.647444764213473e-05
39624,שדרות מנחם בגין/הגדוד העיברי,31.791343,34.636819,Center,Periphery,5,1036,0.00013144224867858543
26842,מואב/לשם,31.26135,35.228355,South,Periphery,5,1247,3.3039404113120015e-05
26841,מואב/לשם,31.261248,35.227576,South,Periphery,5,1379,3.3039404113120015e-05
7221,בריכה,32.961041,35.487595,North,Periphery,5,704,0.00013293590400681007
12757,מסוף אגד/קניון פרץ סנטר,31.060742,35.019583,South,Periphery,5,3000,9.911821233936004e-05
18409,אצ''ל/דרך הרב חיים חורי,32.958462,35.492895,North,Periphery,5,1752,6.613405806589408e-05
19446,ישיבת הסדר,32.843399,35.792611,North,Periphery,5,361,4.9585418402185233e-05
18578,הנחלים/הר וגיא,32.961167,35.507742,North,Periphery,5,348,0.0001401603713313775
42472,קדר,31.747017,35.301774,Center,Jerusalem,5,344,0.003643442978514208
12274,צומת באר אורה/נמל תעופה רמון,29.706043,34.996958,South,Periphery,5,808,0.00014920383032401494
28450,אזור תעשיה רהט,31.393399,34.773933,South,Beer Sheva,5,630,0.0012937306980778554
42908,דרך ארץ/אשל,32.469251,35.038483,Center,Periphery,5,644,0.0005527892769038264
17054,מסעף עוקף דליה,32.687855,35.064731,North,Haifa,5,1774,0.0007463337216917765
28451,אזור תעשיה רהט,31.393205,34.773816,South,Beer Sheva,5,560,0.00028951946742458376
13733,יהודה המכבי/דרך נמיר,32.094067,34.792836,Center,Tel Aviv,5,5975,0.0002843986458380875
1542,הרימון/רויטל,32.519883,35.009102,North,Periphery,5,314,0.0003578144536187857
19458,הגיבורים/השיטה,32.655414,35.105809,North,Haifa,5,1586,0.0005770593022627952
48974,דרך ארץ/מנחם בגין,31.679296,34.595699,Center,Periphery,5,650,0.00036543970596675826
38161,מחנה ענתות,31.819419,35.276143,Jerusalem,Jerusalem,5,234,0.00033075012580193966
15949,מחמוד דרוויש/אלבוחארי,32.257506,35.006394,Center,Tel Aviv,5,602,0.0006956807124993765
10079,המפלצת/טהון,31.761865,35.1725,Jerusalem,Jerusalem,5,2720,0.0011973848021836866
28153,בי''ס משען/גיבורי תשכ''ז,31.422039,34.600158,South,Periphery,5,1666,0.00042980763169646373
4339,תל חי/הירדן,33.212637,35.570614,North,Periphery,5,522,0.0013404211950479032
28685,בית ספר חופים,31.588045,34.560417,Center,Periphery,4,64,7.439386570069302e-05
11204,הדקלים/הרימון,31.794404,35.120007,Jerusalem,Jerusalem,4,196,6.987066400084651e-05
23676,אופנהיימר/ברגמן,31.910987,34.807696,Center,Tel Aviv,4,1848,4.705199414597457e-05
49750,הרדוף/יציאה,32.764312,35.17535,North,Haifa,4,170,0.00013215761645248006
28991,כפר מימון,31.431444,34.541228,South,Periphery,4,82,7.472597396492646e-05
8302,שדרות אדם/437,31.853,35.266306,Jerusalem,Jerusalem,4,716,0.0005387157644699814
34829,טל מנשה/מרכז,32.483499,35.160787,Center,Periphery,4,204,0.00013215761645248006
41786,ת. רכבת אחיהוד/רציפים,32.911279,35.174612,North,Haifa,4,104,6.671004621930395e-05
37834,גן החיות התנ''כי,31.745478,35.177038,Jerusalem,Jerusalem,4,554,3.3039404113120015e-05
48439,צומת כפר הרי''ף,31.752893,34.801702,Center,Periphery,4,168,7.848178458853998e-05
20848,חיים משה שפירא/דוכיפת,32.942029,35.079543,North,Haifa,4,1188,6.61445818448758e-05
20963,כיכר אל-משארף/ספוריה,32.723915,35.285701,North,Periphery,4,470,0.00181991504338744
13734,יהודה המכבי/דרך נמיר,32.094212,34.793079,Center,Tel Aviv,4,4930,0.00028889851866355985
41102,הזית/הורד,31.438596,34.645944,South,Beer Sheva,4,74,0.00029585837747163216
5054,קיבוץ מעוז חיים,32.492662,35.551926,Center,Periphery,4,120,6.607880822624003e-05
13328,לה גווארדייה/המעפילים,32.059392,34.788682,Center,Tel Aviv,4,2506,5.157061541948078e-05
39642,קיבוץ גלויות/הרצל,31.320976,34.618839,South,Beer Sheva,4,1054,5.045126240881203e-05
27621,שדה ניצן מרכז,31.2298,34.419134,South,Periphery,4,154,0.00016519702056560007
44390,נמל תעופה רמון/יציאה,29.712933,35.001048,South,Periphery,4,196,6.607880822624003e-05
11221,קיבוץ מעלה החמישה,31.818536,35.111899,Jerusalem,Jerusalem,4,396,0.0006278179377697037
44681,חונים נוסעים ראשון לציון/דרך ההצלחה,31.972627,34.751512,Center,Tel Aviv,4,1890,0.0015201779591886213
8926,אל תווחיד/אל בטמה,31.747174,35.199366,Jerusalem,Jerusalem,4,292,0.0002684314600806783
17047,הרב שמעונוביץ/הרב קוק,32.748699,35.100063,North,Haifa,4,632,0.00013602351004800674
18225,מסעף נבי סבלאן,33.015239,35.345665,North,Periphery,4,212,0.000268587716945169
6080,שלום הגליל/קניון עכו,32.920939,35.091932,North,Haifa,4,978,0.0001631212602815131
1248,דרך העצמאות/הנביאים,32.520151,34.940139,North,Periphery,4,154,0.00027925327490845486
35386,עין הנציב,32.470642,35.501503,Center,Periphery,4,112,0.00015101910387849208
