from_stop,to_stop,from_name,to_name,trip_frequency
11314,8588,2 אום טובא,אלמשאהד ג',13
8599,8601,סור באהר 1,בית ספר אבו בקר צאדק/אלמדינה אלמונוורה,13
8598,8597,אום טובא 9,אום טובא 7,13
50229,44352,מבצע קדש/יהודה לייב פינסקר,מסוף משה ארנס/הורדה,13
8594,11314,אום טובא 3,2 אום טובא,13
8595,8594,אום טובא 4,אום טובא 3,13
8596,8595,אום טובא 6,אום טובא 4,13
8597,8596,אום טובא 7,אום טובא 6,13
24404,48009,וייצמן/רוטשילד,תחנה מרכזית כפ''ס/רציפים,13
10356,8095,שדרות גולדה מאיר/בנימין מינץ,קבר שמואל הנביא,13
8600,8598,דרך סור באהר,אום טובא 9,13
8610,8600,בית ספר צור באהר בנות/אלמדינה אלמונוורה,דרך סור באהר,13
8614,8094,שדרות גולדה מאיר/המשורר אצ''ג,קבר שמואל הנביא,13
8616,8610,בית ספר אבן רשד/אלמדינה אלמונוורה,בית ספר צור באהר בנות/אלמדינה אלמונוורה,13
8615,8616,בית ספר צור באהר בנות/אלמדינה אלמונוורה,בית ספר אבן רשד/אלמדינה אלמונוורה,13
8601,8615,בית ספר אבו בקר צאדק/אלמדינה אלמונוורה,בית ספר צור באהר בנות/אלמדינה אלמונוורה,13
24390,994,אחוזה/הרב יצחק נסים,מסוף רעננה/הפנינה,13
14339,42837,ת. רכבת תל אביב - סבידור/על פרשת דרכים,ת. רכבת תל אביב- סבידור/רציפים A,12
40666,24604,משה שרת/משאבים,עירייה,12
39374,39343,דרור/קנריות,גילת/צרכניה,10
39344,39373,צרכניה/גילת,דרור/אנפה,10
27709,39373,גילת/כניסה ראשית,דרור/אנפה,10
11962,39374,גילת/בטחה,דרור/קנריות,10
10628,10521,ככר השבת/שטראוס,שטראוס/אביגדורי,10
14057,12901,אהרונוביץ/ קניון בני ברק,דרך ז'בוטינסקי/ביאליק,10
25712,26456,שוק עירוני/בית אשל,ת.מרכזית/עירוניים לצפון,10
34298,34303,לשם/הברקת,הצור/הברזל,9
34299,34300,הצור/הברזל,הצור/היהלום,9
2471,50181,איינשטיין/אסף שמחוני,בי''ס רוגוזין ב'/דרך יצחק רבין,9
34304,34299,לשם/הברקת,הצור/הברזל,9
2294,17157,קופת חולים/ויצמן,החקלאים /אושה,9
1359,42450,דרך אהרון/דרך שרה,בי''ס החיטה/שירה,7
6246,18421,חב''ד בנות/הרבי מלובאוויטש,הפלמ''ח,7
24404,48195,וייצמן/רוטשילד,תחנה מרכזית כפ''ס/רציפים,6
1810,17013,השקדים/ציפורנים,בית ספר נרקיסים/סיגליות,6
19446,35096,ישיבת הסדר,ישיבה תיכונית חספין,6
26668,26646,הספרייה,בי''ס שדה הר הנגב,5
7360,7468,מתנ''ס עירוני/רבי נחמן מברסלב,מפעל הש''ס/רבי נחמן מברסלב,5
47889,27623,ת.מרכזית באר שבע/רציפים בינעירוני,מרכז רפואי סורוקה/אוניברסיטת בן גוריון,5
24653,24608,הדס/הכלנית,רבוצקי/אחוזה,5
1340,2903,ספרייה/הדגן,הגדעונים/הנוטרים,5
13246,36888,בית ספר הולץ/חיל השריון,ת.מרכזית תל אביב קומה 6/רציפים,5
39634,19221,אלחריק ה,העיר הוותיקה ג,4
16867,50607,מחנה תל נוף,ת.רכבת תל אביב - סבידור/רציפים B,4
11089,11086,חברת חשמל,עוף ירושלים,4
11044,11089,מאפיות אנגל,חברת חשמל,4
20997,20982,אל-עומאל אל-ערב/אום קוביי,קריית חינוך שנלר/ספרייה עירונית,4
11079,11044,מחלף הרטוב,מאפיות אנגל,4
21343,21714,הבנים/נצר סירני,'נצר סירני א,4
39097,33918,ביה''ס ראשונים,הדסים,3
28324,26504,ניצנה/כפר נוער,עזוז/מרכז,3
23143,1004,ד''ר משה סנה/ברקן,אנצו סירני/הכובשים,3
359,48232,הרצל/בנימין מינץ,ת. מרכזית נתניה/רציפים,3
5266,47865,גן העיר/הגליל,ת. מרכזית טבריה/רציפים,3
17040,3836,דרך קרית עמל/אליהו התשבי,מגרש ספורט/אליהו התשבי,3
22203,23183,מבוא רעות/יפה נוף,תיכון רעות מכבים,3
19229,19202,שכונה דרומית ה,כנסייה קתולית ב,2
47975,47994,ת. מרכזית חדרה/רציפים,ת. מרכזית חוף הכרמל/רציפים בינעירוני,2
21786,49799,צומת כפר סבא רעננה צפון,מסוף מודיעין עילית,2
14356,14360,חזון אי''ש/נחמיה,רבן יוחנן בן זכאי/ירושלים,2
12404,47904,ספריה עירונית/חטיבת הנגב,ת. מרכזית אילת/רציפים,1
