from_stop,to_stop,from_name,to_name,trip_frequency
34313,34311,הרב שלום שבזי/אזור תעשייה ערבה,חושן משפט/אזור תעשייה ערבה,244
7413,34313,חזו'א / חתם סופר,הרב שלום שבזי/אזור תעשייה ערבה,244
50631,51761,אזור תעשייה/לח''י,קריית חינוך/איילת השחר,243
27623,47899,מרכז רפואי סורוקה/אוניברסיטת בן גוריון,ת.מרכזית באר שבע/רציפים בינעירוני,242
52012,52009,פרופ' יעקב נאמן/הרב אברהם זקן,יצחק ארנסט נבנצל/הרב אברהם זקן,240
52009,47006,יצחק ארנסט נבנצל/הרב אברהם זקן,אשר וינר/לייב יפה,240
52011,52008,שמעון מישורי/גרשון אבנר,שמעון מישורי,240
52007,52012,פרופ' יעקב נאמן/שמעון מישורי,פרופ' יעקב נאמן/הרב אברהם זקן,240
52008,52007,שמעון מישורי,פרופ' יעקב נאמן/שמעון מישורי,240
15860,38288,רוז'נסקי/משה לוי,מסוף קניון הזהב,239
16205,44158,בי''ח בלינסון/גשר מבצע ארנון,מסוף יותם ויואב/רציפים,239
9553,36477,גשר המיתרים/שד' הרצל,ת. מרכזית ירושלים קומה 3/רציפים,238
3437,48038,גרנד קניון/שמחה גולן,ת. מרכזית המפרץ/רציפים עירוני,236
26659,47902,השוק העירוני/שדרות דוד חכם,ת.מרכזית באר שבע/רציפים בינעירוני,233
22804,48233,ישראל גלילי/הסחלב,ת. מרכזית ראשל''צ/רציפים,232
22182,41780,עירייה,ת. מרכזית מודיעין מכבים רעות,232
49757,49759,פרנק,קליין/אהרונסון,232
16237,43300,מד''א/המכבים,מסוף משה ארנס/רציפים,231
13268,37646,מחלף לה גווארדייה,ת.מרכזית תל אביב קומה 7/רציפים,228
25709,50728,שוק עירוני/בית אשל,ת.מרכזית/עירוניים לדרום,226
27623,48114,מרכז רפואי סורוקה/אוניברסיטת בן גוריון,ת.מרכזית באר שבע/רציפים בינעירוני,226
13246,37642,בית ספר הולץ/חיל השריון,ת.מרכזית תל אביב קומה 6/רציפים,225
20739,41936,מסוף בית שאן/שדרות מנחם בגין,מסוף בית שאן/איסוף,225
13214,42881,מתחם מידטאון/דרך מנחם בגין,ת. רכבת תל אביב- סבידור/רציפים A,224
11915,11555,עין כרם/דרך כרמית,עין כרם/המעיין,224
9340,9341,עין כרם/שד' הרצל,עין כרם/ברקלי,224
9578,11915,עין כרם/מדרגות הכפר,עין כרם/דרך כרמית,224
9341,9578,עין כרם/ברקלי,עין כרם/מדרגות הכפר,224
11555,10697,עין כרם/המעיין,עין כרם/ההדסים,224
19486,47988,תל חי/סיני,ת. מרכזית ק''ש/רציפים,220
49786,49781,אהרון שמי/אהרונסון,קליין/יאיר,219
12936,48424,קמפוס ברושים/שלום רוזנפלד,ת. רכבת אוניברסיטה/איסוף,219
10697,9870,עין כרם/ההדסים,צומת כרם,217
9870,9184,צומת כרם,בית ספר חקלאי עין כרם,217
4032,41537,האילן/ההדס,האילן/החרוב,215
41539,41537,האילן/התדהר,האילן/החרוב,215
41133,36316,מחלף חמד,ת. מרכזית ירושלים קומה 3/רציפים,213
39624,48014,שדרות מנחם בגין/הגדוד העיברי,ת. מרכזית אשדוד/רציפים,212
35018,34501,מגרש כדורגל,אוניברסיטת אריאל/רמת הגולן,208
34493,34499,רמת הגולן/אדום,מעונות סטודנטים/רמת הגולן,208
34501,34499,אוניברסיטת אריאל/רמת הגולן,מעונות סטודנטים/רמת הגולן,208
11556,9883,כביש 395/כביש 386,בית ספר חקלאי עין כרם,207
48974,43586,דרך ארץ/מנחם בגין,מנחם בגין/הרכבת,207
9056,48168,שדרות דוד טוביהו/סוקולוב,ת.מרכזית באר שבע/רציפים בינעירוני,207
41538,41991,האילן/החרוב,האילן/התדהר,206
4047,41538,האילן/ההדס,האילן/החרוב,206
48213,359,ת. מרכזית נתניה/רציפים,הרצל/בנימין מינץ,205
25938,48052,בן גוריון/נאות אשקלון,ת. מרכזית אשקלון רציפים/בינעירוני,198
359,48120,הרצל/בנימין מינץ,ת. מרכזית נתניה/רציפים,197
3709,3517,שאגאל/סרה,טולוז/מנחם בגין,196
39784,48059,גני טל/כיכר,ת.רכבת נתיבות/רציפים,195
4671,6043,אורט יגאל אלון/מעלה יצחק,חניון נוף הגליל,194
40476,40474,מתחם 4 מזרח,גן ציבורי,194
43422,48093,שדרות מנחם בגין/שדרות הרצל,ת. מרכזית אשדוד/רציפים,194
46704,49422,דרך מנחם בגין/דרך הרב שלום איפרגן,תחנה רכבת שדרות/רציפים,190
13356,36892,דרך קיבוץ גלויות/כביש 1,ת.מרכזית תל אביב קומה 7/רציפים,190
