from_stop,to_stop,trip_frequency
26196,25541,163
25928,26162,963
25928,25929,449
26162,25929,963
25929,25930,1099
25929,26155,306
25929,25553,7
25930,43370,830
25930,47922,12
25930,43369,188
25930,37420,1253
43370,28854,497
43370,43422,449
28854,25900,209
28854,28855,288
25900,26093,209
25900,26096,141
25900,25901,6
26093,26080,542
26080,26073,337
26080,25580,339
26073,26059,337
26059,48005,329
26059,28670,15
48005,26057,209
48005,26046,120
26057,26056,215
26056,26046,209
26056,27416,6
26046,27416,263
26046,46601,120
27416,26052,413
26052,26022,1156
26022,28677,1156
28677,28663,1156
28663,25852,1156
25852,35404,1123
35404,25573,1142
35404,48088,199
35404,27418,141
8758,11833,2441
11833,9954,2441
9954,8718,1616
9954,8760,1861
8718,8719,2973
8718,8720,8
8719,8720,2973
8720,8721,2981
8721,8722,2981
8722,8723,2981
8723,8724,2981
8724,8725,2981
8725,40027,2957
8725,8726,24
40027,8760,580
40027,8726,2022
40027,9954,355
8760,10029,2441
10029,8762,2441
8762,8763,2441
8763,10032,2146
8763,8764,295
10032,8764,2146
8764,8765,2441
8765,9959,2100
9959,8793,5107
9959,9353,1578
9959,9352,26
9959,9971,6
8793,8794,5181
8793,10084,6
8794,9352,3841
8794,8795,634
8794,9971,704
8794,10236,2
9352,8707,4076
9352,11865,62
9352,10084,780
8707,8705,4076
8705,8704,4076
8704,8667,740
8704,44961,1813
8704,10757,1131
8704,9046,80
8704,7562,8
8704,10754,298
8704,10747,6
8667,8664,2095
8667,11731,297
8667,9448,11
8664,8835,2958
8664,8662,8
8835,8662,2956
8835,9448,2
8662,8836,2964
8836,8658,2964
8658,8656,2964
8656,8654,2956
8656,8652,8
8654,8652,2956
8652,9450,2964
9450,8648,2964
8648,8646,2950
8648,8644,14
8646,8644,2370
8646,11294,5
8646,10750,2
8646,34170,3
8646,11293,13
8646,47411,564
8644,8643,2167
8644,9476,209
8644,34170,3
8644,8641,8
8643,8641,2159
8643,8639,8
8641,8639,1876
8641,10682,291
8639,10131,580
8639,37785,1653
8639,10644,794
8639,7562,8
8639,8960,7
8639,9053,487
8639,8839,8
10131,8844,580
10131,9498,100
10131,8839,624
10131,48447,309
8844,8845,1253
8845,8846,1253
8846,8847,1253
8847,8848,1253
8848,9498,580
8848,10132,633
8848,8638,36
9498,9500,1375
9498,9726,206
9498,10678,3
9498,9499,2
9498,9488,45
9500,9488,1375
9488,11649,1156
9488,49359,423
9488,9663,16
11649,11741,1488
11741,11726,672
11741,11727,332
11726,11744,1041
9353,9575,1584
9575,11567,1584
11567,9355,1584
9355,8755,826
9355,8796,678
9355,9971,80
8755,9352,1034
8755,8756,1506
8755,10084,204
8755,49466,4
44961,44962,2555
44961,48510,1407
44961,10784,7
44961,46414,487
44961,10747,727
44962,45042,1533
44962,10747,372
44962,9619,650
45042,10784,2196
10784,10785,2780
10784,9589,25
10784,49354,10
10785,10683,1089
10785,49354,1695
10683,11610,2473
11610,8639,1653
11610,10119,913
11610,8642,6
37785,49737,3459
37785,9053,511
49737,8636,5149
8636,10790,2324
8636,10264,1278
8636,50399,2278
8636,41133,22
8636,8750,139
8636,9048,181
8636,9046,110
8636,10446,112
10790,10765,1095
10790,10791,3284
10790,9828,421
10790,10613,1272
10790,10792,24
10790,9827,8
10790,43400,371
10765,8828,2117
8828,8829,574
8828,9810,1612
8829,8830,1009
8830,8831,1959
8831,9994,1911
8831,10743,15
8831,8669,28
9994,11636,927
9994,8673,989
11636,8818,927
11636,11785,5
8818,8819,1602
8818,9988,781
8819,8820,2515
8820,8821,2515
8821,41242,1314
8821,10792,1175
8821,10715,5
41242,41239,2077
41239,41243,2077
41243,8676,919
41243,10018,407
41243,10109,751
8676,8678,2797
8678,8680,2797
8680,51267,1284
8680,8682,38
8680,8614,1447
47116,8681,1278
47116,8614,629
8681,8679,2775
8679,8677,2775
8677,41244,883
8677,10109,1518
8677,10018,364
41244,41240,1935
41240,41241,1935
41241,8682,1152
41241,10792,381
41241,10715,402
8682,8683,2395
8683,8684,2395
8684,8832,1578
8684,9988,793
8684,10792,8
8684,9891,8
8684,11785,8
8832,10247,893
8832,11785,1055
8832,41242,371
10247,8668,907
