stop_id,stop_name,region,status,degree_bus,degree_all_modes,is_articulation_point_bus,is_articulation_point_all_modes
23671,פקריס/פלאוט,Center,both,10,10,True,True
27529,שדרות מלכי ישראל/נתן אלבז,Center,both,10,10,True,True
27530,שד. מלכי ישראל/רחבת גדעון בן יואש,Center,both,10,10,True,True
27674,צומת מעון,South,both,10,10,True,True
29310,המסגר/יד חרוצים,Center,both,10,10,True,True
39830,דרך ארץ/אשל,Center,both,10,10,True,True
43905,מצודת אדומים,Jerusalem,both,10,10,True,True
49466,מסוף הר נוף/כנפי נשרים,Jerusalem,both,10,10,True,True
5373,יהודה הלוי/דנילוף סנטר,North,both,10,10,True,True
8439,צומת חטיבה שבע/לטרון,Jerusalem,both,10,10,True,True
11227,צומת אורה,Jerusalem,both,9,9,True,True
13239,ביה''ח איכילוב/ויצמן,Center,both,9,9,True,True
1340,ספרייה/הדגן,North,both,9,9,True,True
1359,דרך אהרון/דרך שרה,North,both,9,9,True,True
16940,צומת זכרון יעקב/כביש 4,North,both,9,9,True,True
21321,כביש 44/דרך חיים הרצוג,Center,both,9,9,True,True
23193,הפקולטה לחקלאות,Center,both,9,9,True,True
23259,בר כוכבא/ליברכט,Center,both,9,9,True,True
24763,צומת חולון,Center,both,9,9,True,True
43772,שדרות יחד שבטי ישראל/שבט שמעון,Center,both,9,9,True,True
7604,צומת חטיבה שבע,Jerusalem,both,9,9,True,True
11302,מעלה הזיתים,Jerusalem,both,8,8,True,True
13219,שד' רוקח/בכור שטרית,Center,both,8,8,True,True
13632,המסגר/ריב''ל,Center,both,8,8,True,True
15255,תחנת רכבת לוד/יוספטל,Center,both,8,8,True,True
19486,תל חי/סיני,North,both,8,8,True,True
21507,הרצל/סוקולוב,Center,both,8,8,True,True
22261,ת. רכבת רחובות,Center,both,8,8,True,True
23491,רבי יהודה הנשיא/רבי שמעון בן שטח,Center,both,8,8,True,True
24239,בית לוינשטיין/אחוזה,Center,both,8,8,True,True
24243,מוסד חינוכי כפר בתיה/דרך ירושלים,Center,both,8,8,True,True
24722,אנה פרנק/הקוממיות,Center,both,8,8,True,True
24765,הרצל/שדרות תש''ח,Center,both,8,8,True,True
34492,רמת הגולן/אדום,Center,both,8,8,True,True
39563,בגין/הרצל,South,both,8,8,True,True
4530,קאנטרי קלאב/שדרות יצחק רבין,North,both,8,8,True,True
4671,אורט יגאל אלון/מעלה יצחק,North,both,8,8,True,True
48898,ביג שער העיר,North,both,8,8,True,True
48914,רכבת/מסוף ביג,Center,both,8,8,True,True
50229,מבצע קדש/יהודה לייב פינסקר,Center,both,8,8,True,True
51992,מסוף פדואל,Center,both,8,8,True,True
8862,נהר הירקון/נהר הירדן,Jerusalem,both,8,8,True,True
8947,חטיבת ירושלים/ יצחק קריב,Jerusalem,both,8,8,True,True
10356,שדרות גולדה מאיר/בנימין מינץ,Jerusalem,both,7,7,True,True
10591,שד. לוי אשכול/שד. יהודה בן זאב,Jerusalem,both,7,7,True,True
12625,ת. מרכזית אילת/שדרות התמרים,South,both,7,7,True,True
12838,אלוף שדה/הירדן,Center,both,7,7,True,True
13187,דבורה הנביאה/ראול ולנברג,Center,both,7,7,True,True
18177,מסעף נחף,North,both,7,7,True,True
21354,הזית/קרן היסוד,Center,both,7,7,True,True
22203,מבוא רעות/יפה נוף,Jerusalem,both,7,7,True,True
24237,מרכז מסחרי מול הפארק/דרך ירושלים,Center,both,7,7,True,True
3228,מת''מ/ההגנה,North,both,7,7,True,True
324,שד. בנימין/שד. ירושלים,Center,both,7,7,True,True
3431,נווה גנים,North,both,7,7,True,True
34493,רמת הגולן/אדום,Center,both,7,7,True,True
35837,נווה גנים,North,both,7,7,True,True
37221,מחנה נבטים,South,both,7,7,True,True
41045,קאנטרי קלאב/שדרות יואש דובנוב,North,both,7,7,True,True
41675,ת. רכבת כרמיאל/רציפים,North,both,7,7,True,True
44260,זכריה הנביא/אליהו הנביא,Jerusalem,both,7,7,True,True
44501,שדרות נעמי שמר/אליהו,Center,both,7,7,True,True
44669,הטוחן/גרניט,Center,both,7,7,True,True
47432,הרכבת/המסגר,Center,both,7,7,True,True
4761,צומת מחנה גדעון,North,both,7,7,True,True
49329,הרכבת/ראש פינה,Center,both,7,7,True,True
8781,משרד המשפטים/צלאח א דין,Jerusalem,both,7,7,True,True
10238,שדרות משה דיין/שדרות נווה יעקב,Jerusalem,both,6,6,True,True
11865,ירמיהו/הצבי,Jerusalem,both,6,6,True,True
11962,גילת/בטחה,South,both,6,6,True,True
