stop_id,stop_name,topological_rank,demand_weighted_rank,rank_shift
12890,ת. רכבת תל אביב סבידור/על פרשת דרכים,2675.0,289.0,2386.0
23596,ת. מרכזית ראשל''צ,1526.0,290.0,1236.0
25941,צומת ברכיה,147.0,291.0,-144.0
2092,טרומפלדור/כיכר דוד,411.0,292.0,119.0
11450,אסטורה/כפר עברי,4916.0,293.0,4623.0
3731,העירייה,285.0,294.0,-9.0
23267,שטמפפר/בר כוכבא,2508.0,295.0,2213.0
9469,מלכי ישראל/בן מתתיהו,5658.0,296.0,5362.0
2090,טרומפלדור/מרכז זיו,146.0,297.0,-151.0
7378,רבי עקיבא/אור החיים,1243.0,298.0,945.0
16262,העצמאות/דיקר,388.0,299.0,89.0
44926,שדרות הרב עובדיה יוסף/שדרות יחד שבטי ישראל,1950.0,300.0,1650.0
23148,מוטה גור/אלי ויזל,3517.0,301.0,3216.0
866,בי''ח מאיר/טשרניחובסקי,2700.0,302.0,2398.0
42415,תחנת התרעננות/פונדק עין יהב,56.0,303.0,-247.0
7372,בבא סאלי/ נדבורנא,413.0,304.0,109.0
33941,ת. רכבת יוספטל,2712.0,305.0,2407.0
47119,רבי שלמה זלמן דרוק,1855.0,306.0,1549.0
21595,צומת בית דגן,1216.0,307.0,909.0
25755,מנחם בגין/שער העיר,612.0,308.0,304.0
1784,מסעף טירת כרמל/הרצל,312.0,309.0,3.0
10313,ישיבת דעת יוסף/זויין,5929.0,310.0,5619.0
44258,יגאל ידין/רבי שלמה זלמן דרוק,1217.0,311.0,906.0
21270,צומת גבעת אבני,151.0,312.0,-161.0
21669,יחיאל מיכל פינס/י.ל. הכהן,1698.0,313.0,1385.0
25274,קפלן/ארלוזורוב,2465.0,314.0,2151.0
34698,בסיס צבאי/כביש 3507,3285.0,315.0,2970.0
29378,מכללת לוינסקי/דרך נמיר,1694.0,316.0,1378.0
38944,גשר דוד שיפמן /דרך מנחם בגין,611.0,317.0,294.0
15831,מחלף מסובים   לכיוון מזרח,2577.0,318.0,2259.0
22062,צומת שילת,1311.0,319.0,992.0
8125,משטרת מעלה אדומים/דרך הר הבית,283.0,320.0,-37.0
27215,רש''י/בן גוריון,4159.0,321.0,3838.0
20503,מעון נווה רם/הרב עובדיה יוסף,357.0,322.0,35.0
49812,ת. מרכזית אילת,62.0,323.0,-261.0
10222,זווין/ניימן ב',6588.0,324.0,6264.0
2234,חנקין/רופין,1033.0,325.0,708.0
25126,בית ספר מרחביה,1719.0,326.0,1393.0
13268,מחלף לה גווארדייה,3379.0,327.0,3052.0
