window,strategy,removed,largest_component_share_surviving
night,random (baseline),519,0.97746
night,random (baseline),649,0.97315
night,random (baseline),779,0.96975
night,random (baseline),909,0.96581
night,random (baseline),1039,0.963
night,random (baseline),1169,0.95853
night,random (baseline),1298,0.95194
night,random (baseline),1428,0.94564
night,random (baseline),1558,0.94217
night,random (baseline),1688,0.93631
night,random (baseline),1818,0.93144
night,random (baseline),1948,0.92653
night,random (baseline),2077,0.92041
night,random (baseline),2207,0.91688
night,random (baseline),2337,0.91126
night,random (baseline),2467,0.9055
night,random (baseline),2597,0.89709
