stop_id,stop_name,region,lat,lon,degree,weighted_degree,approx_betweenness,rank_in_peak_window,peak_window,offpeak_window
19191,שכונת המסג'ד,North,32.891251,35.405941,6.0,98.0,0.0004617011757316175,3751,morning_peak,night
3767,דניה/ליבריה ג,North,32.768033,35.001686,2.0,64.0,0.00046076239982586635,3758,morning_peak,night
17850,מסעף יחיעם,North,33.006271,35.205554,3.0,16.0,0.0004595767047827023,3766,morning_peak,night
21229,עין מאהל כניסה,North,32.723032,35.348448,3.0,28.0,0.0004586740446992091,3770,morning_peak,night
29042,שיזף/שקמה,South,31.082169,35.040614,2.0,64.0,0.00045227645715765184,3795,morning_peak,night
17077,אלבאשא,North,32.698299,35.051374,2.0,40.0,0.00045227645715765184,3796,morning_peak,night
17079,קופת חולים מאוחדת,North,32.697459,35.050249,2.0,36.0,0.00045227645715765184,3797,morning_peak,night
45043,השדרה המרכזית/צלע ההר,Center,31.921107,34.970959,2.0,16.0,0.00045161624667772394,3800,morning_peak,night
1913,האסיף/קיש,North,32.799892,34.994402,4.0,74.0,0.0004514587486228289,3802,morning_peak,night
37734,לוחמי הגטאות/בר כוכבא,Jerusalem,31.800798,35.240211,4.0,52.0,0.00045095211006762387,3808,morning_peak,night
16955,תיכון בית אליעזר,Center,32.430053,34.952328,2.0,12.0,0.00044890610912780754,3818,morning_peak,night
12716,מחנה מכלול יותם,South,29.555518,34.912773,2.0,32.0,0.0004457864487485546,3829,morning_peak,night
49611,דרך יגאל ידין,North,32.795205,35.035074,5.0,214.0,0.00044485916650161857,3836,morning_peak,night
1594,שבדיה ג,North,32.767129,35.006342,2.0,56.0,0.00044379051448943733,3843,morning_peak,night
4404,מחנה חומה,North,33.035169,35.691707,2.0,10.0,0.0004418223066513861,3857,morning_peak,night
19637,היב 2,North,32.771087,35.306429,2.0,28.0,0.00043827146024548626,3873,morning_peak,night
