window,strategy,removed,removed_fraction,window_nodes,surviving_nodes,lcc_size,largest_component_share_surviving,lcc_share_original
afternoon_peak,articulation points,902,0.03001,30057,29155,27626.0,0.94756,0.91912
afternoon_peak,articulation points,1052,0.035,30057,29005,27581.0,0.95091,0.91762
afternoon_peak,articulation points,1202,0.03999,30057,28855,27140.0,0.94056,0.90295
afternoon_peak,articulation points,1353,0.04501,30057,28704,26812.0,0.93409,0.89204
afternoon_peak,articulation points,1503,0.05,30057,28554,26349.0,0.92278,0.87663
afternoon_peak,articulation points,1653,0.055,30057,28404,25993.0,0.91512,0.86479
afternoon_peak,articulation points,1803,0.05999,30057,28254,25457.0,0.90101,0.84696
afternoon_peak,articulation points,1954,0.06501,30057,28103,24786.0,0.88197,0.82463
afternoon_peak,articulation points,2104,0.07,30057,27953,24369.0,0.87178,0.81076
afternoon_peak,articulation points,2254,0.07499,30057,27803,23740.0,0.85386,0.78983
afternoon_peak,articulation points,2405,0.08001,30057,27652,20347.0,0.73582,0.67695
afternoon_peak,articulation points,2555,0.08501,30057,27502,11148.0,0.40535,0.3709
afternoon_peak,articulation points,2705,0.09,30057,27352,10959.0,0.40067,0.36461
afternoon_peak,articulation points,2855,0.09499,30057,27202,10786.0,0.39651,0.35885
afternoon_peak,articulation points,3006,0.10001,30057,27051,10379.0,0.38368,0.34531
afternoon_peak,random (baseline),0,0.0,30057,30057,29833.0,0.99255,0.99255
afternoon_peak,random (baseline),15,0.0005,30057,30042,29817.0,0.99251,0.99202
afternoon_peak,random (baseline),30,0.001,30057,30027,29800.0,0.99244,0.99145
afternoon_peak,random (baseline),75,0.0025,30057,29982,29751.666666666668,0.99232,0.98984
afternoon_peak,random (baseline),150,0.00499,30057,29907,29672.0,0.99214,0.98719
afternoon_peak,random (baseline),301,0.01001,30057,29756,29497.0,0.9913,0.98137
afternoon_peak,random (baseline),451,0.015,30057,29606,29324.666666666668,0.9905,0.97564
afternoon_peak,random (baseline),601,0.02,30057,29456,29121.0,0.98863,0.96886
afternoon_peak,random (baseline),751,0.02499,30057,29306,28930.333333333332,0.98718,0.96252
afternoon_peak,random (baseline),902,0.03001,30057,29155,28754.0,0.98625,0.95665
afternoon_peak,random (baseline),1052,0.035,30057,29005,28532.666666666668,0.98372,0.94929
afternoon_peak,random (baseline),1202,0.03999,30057,28855,28333.666666666668,0.98193,0.94266
afternoon_peak,random (baseline),1353,0.04501,30057,28704,28118.0,0.97958,0.93549
afternoon_peak,random (baseline),1503,0.05,30057,28554,27882.0,0.97647,0.92764
